"","fst_unweighted","fst_weighted","cluster_a","month_a","year_a","cluster_b","month_b","year_b","treated"
"1",-0.005751,0,1,11,2015,1,7,2015,1
"2",-0.004999,0.00036,1,11,2015,1,9,2015,1
"3",-0.005358,0.000275,1,11,2015,10,11,2014,1
"4",-0.007765,0,1,11,2015,10,7,2015,1
"5",-0.00281,0.002935,1,11,2015,10,9,2014,1
"6",-0.005498,5.8e-05,1,11,2015,10,9,2015,1
"7",-0.005573,0,1,11,2015,11,11,2014,1
"8",-0.006467,0,1,11,2015,11,7,2015,1
"9",-0.00362,0.00161,1,11,2015,11,9,2014,1
"10",-0.005525,0.000128,1,11,2015,11,9,2015,1
"11",-0.005119,0.000123,1,11,2015,12,11,2015,1
"12",-0.008466,0,1,11,2015,12,7,2015,1
"13",-0.005028,0.000437,1,11,2015,12,9,2014,1
"14",-0.004211,0.001316,1,11,2015,12,9,2015,1
"15",-0.004135,0.001148,1,11,2015,18,8,2014,1
"16",-0.003202,0.002443,1,11,2015,18,9,2014,1
"17",-0.004861,0.000671,1,11,2015,18,9,2015,1
"18",-0.00476,0.000615,1,11,2015,2,9,2014,1
"19",-0.004686,0.000637,1,11,2015,2,9,2015,1
"20",-0.009336,0,1,11,2015,20,11,2014,1
"21",-0.004505,0.000634,1,11,2015,20,7,2015,1
"22",-0.00553,0,1,11,2015,20,9,2014,1
"23",-0.004673,0.000699,1,11,2015,20,9,2015,1
"24",-0.005835,0,1,11,2015,26,7,2015,1
"25",-0.004274,0.001683,1,11,2015,26,9,2014,1
"26",-0.004597,0.001172,1,11,2015,26,9,2015,1
"27",-0.005319,0.000219,1,11,2015,29,7,2014,1
"28",-0.004413,0.000879,1,11,2015,29,9,2014,1
"29",-0.004745,0.000512,1,11,2015,29,9,2015,1
"30",-0.004839,0.001312,1,11,2015,3,7,2015,1
"31",-0.004321,0.001337,1,11,2015,3,9,2014,1
"32",-0.004617,0.000998,1,11,2015,3,9,2015,1
"33",-0.004812,0.000463,1,11,2015,36,7,2014,1
"34",-0.007237,0,1,11,2015,36,7,2015,1
"35",-0.004002,0.001945,1,11,2015,36,9,2014,1
"36",-0.005968,0.001098,1,11,2015,37,7,2015,1
"37",-0.003883,0.001472,1,11,2015,37,9,2014,1
"38",-0.00409,0.001778,1,11,2015,37,9,2015,1
"39",-0.00327,0.002297,1,11,2015,39,7,2015,1
"40",-0.004838,0.000342,1,11,2015,39,9,2014,1
"41",-0.00368,0.001787,1,11,2015,39,9,2015,1
"42",-0.002809,0.002881,1,11,2015,4,7,2015,1
"43",-0.004217,0.00159,1,11,2015,4,9,2014,1
"44",-0.006701,0,1,11,2015,4,9,2015,1
"45",-0.004163,0.001183,1,11,2015,9,11,2014,1
"46",-0.001473,0.004523,1,11,2015,9,7,2014,1
"47",-0.00506,0.001436,1,11,2015,9,7,2015,1
"48",-0.004442,0.00088,1,11,2015,9,9,2014,1
"49",-0.004181,0.001306,1,11,2015,9,9,2015,1
"50",-0.008218,0,1,7,2015,10,9,2015,1
"51",-0.006747,0,1,7,2015,11,11,2014,1
"52",-0.004272,0.00109,1,7,2015,11,9,2014,1
"53",-0.008038,0,1,7,2015,11,9,2015,1
"54",-0.007325,0,1,7,2015,12,11,2015,1
"55",-0.006737,0,1,7,2015,18,8,2014,1
"56",-0.006492,0,1,7,2015,18,9,2014,1
"57",-0.007441,0,1,7,2015,18,9,2015,1
"58",-0.007989,0,1,7,2015,2,9,2014,1
"59",-0.00551,6e-05,1,7,2015,2,9,2015,1
"60",-0.012084,0,1,7,2015,20,11,2014,1
"61",-0.005712,0,1,7,2015,20,9,2015,1
"62",-0.008028,0,1,7,2015,26,7,2015,1
"63",-0.006856,0,1,7,2015,26,9,2014,1
"64",-0.007266,0,1,7,2015,29,7,2014,1
"65",-0.006127,0,1,7,2015,29,9,2014,1
"66",-0.006454,0,1,7,2015,29,9,2015,1
"67",-0.008822,0,1,7,2015,3,7,2015,1
"68",-0.007783,0,1,7,2015,3,9,2014,1
"69",-0.006359,0,1,7,2015,36,7,2014,1
"70",-0.010027,0,1,7,2015,36,7,2015,1
"71",-0.00816,0,1,7,2015,36,9,2014,1
"72",-0.010757,0,1,7,2015,37,7,2015,1
"73",-0.006955,0,1,7,2015,4,9,2014,1
"74",-0.01065,0,1,7,2015,4,9,2015,1
"75",-0.007384,0,1,7,2015,9,11,2014,1
"76",-0.0052,0.000291,1,7,2015,9,7,2014,1
"77",-0.007126,0,1,7,2015,9,7,2015,1
"78",-0.004923,0.000553,1,9,2014,1,11,2015,1
"79",-0.006759,0,1,9,2014,1,7,2015,1
