Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
100_220322_L001.srt.dp_stats	85267484.0	7922478.0	34886592.0	12705509.0	32563773.0	14290479.0	26483009.0	12863646.0	19130053.0	9973006.0	12615006.0	6923966.0	7736062.0	4424048.0	4493642.0	2671731.0	2528569.0	1556562.0	1396679.0	899075.0	773859.0	520590.0	446742.0	314244.0	269433.0	199841.0	173316.0	135265.0	117411.0	95711.0	85055.0	70936.0	64244.0	55703.0	50576.0	44217.0	41318.0	36608.0	34971.0	31952.0	29771.0	27499.0	25615.0	23752.0	22601.0	21208.0	20239.0	19210.0	17950.0	17270.0	16169.0
101_220322_L001.srt.dp_stats	78749362.0	8463236.0	27892497.0	13530085.0	27212035.0	15611536.0	23725174.0	14802191.0	18722414.0	12210146.0	13577869.0	9095067.0	9190886.0	6292219.0	5882436.0	4072692.0	3626312.0	2530694.0	2158283.0	1526000.0	1273003.0	913949.0	751299.0	552545.0	448678.0	344681.0	280396.0	217412.0	182997.0	148456.0	126675.0	107301.0	91674.0	79736.0	71685.0	61926.0	56357.0	51385.0	46065.0	41630.0	37433.0	35460.0	33450.0	30438.0	28797.0	26894.0	24817.0	23186.0	22121.0	21367.0	20195.0
102_220322_L001.srt.dp_stats	85963302.0	8074755.0	36983580.0	12976050.0	34317713.0	14255445.0	27270551.0	12486087.0	19036035.0	9339369.0	12024916.0	6204902.0	7090445.0	3828694.0	3997250.0	2271626.0	2203905.0	1316148.0	1216797.0	762076.0	682126.0	449259.0	402221.0	278531.0	247855.0	185157.0	166094.0	127546.0	114593.0	92293.0	82576.0	69896.0	63175.0	53570.0	50389.0	44456.0	41097.0	36707.0	34301.0	30535.0	28776.0	25823.0	24713.0	22764.0	21846.0	20314.0	19438.0	18034.0	17751.0	16451.0	16023.0
103_220322_L001.srt.dp_stats	79866040.0	8039037.0	29685376.0	13305461.0	29043885.0	15620287.0	25019864.0	14720460.0	19170377.0	11893110.0	13358242.0	8571603.0	8658311.0	5686118.0	5321052.0	3554772.0	3144562.0	2149967.0	1821889.0	1272710.0	1054609.0	755186.0	624016.0	462114.0	379803.0	289701.0	243427.0	192204.0	164133.0	132450.0	114150.0	97639.0	85604.0	73043.0	65646.0	56772.0	51319.0	46301.0	43326.0	38270.0	35557.0	32532.0	30364.0	27465.0	26057.0	24223.0	22934.0	21609.0	20829.0	19180.0	18611.0
104_220322_L001.srt.dp_stats	79729498.0	6604645.0	29176456.0	11183754.0	29077914.0	13685026.0	25581825.0	13498776.0	20185537.0	11421326.0	14497703.0	8617796.0	9677324.0	5975548.0	6093349.0	3874842.0	3699375.0	2421506.0	2186613.0	1476655.0	1291711.0	900481.0	778303.0	556523.0	476202.0	350305.0	299432.0	230895.0	199332.0	162403.0	140149.0	117229.0	102474.0	86842.0	76783.0	67370.0	62092.0	55374.0	50522.0	45549.0	42694.0	39230.0	35955.0	33236.0	31325.0	28802.0	28065.0	25966.0	24972.0	21924.0	21008.0
105_220322_L001.srt.dp_stats	76571220.0	2082447.0	32257423.0	3736619.0	36322764.0	4931956.0	35016742.0	5223970.0	29459512.0	4720026.0	22086035.0	3804910.0	15105376.0	2799067.0	9630880.0	1928405.0	5830327.0	1289295.0	3422201.0	840742.0	1991161.0	554053.0	1171641.0	372466.0	708472.0	256217.0	442664.0	183739.0	293495.0	135707.0	206094.0	104888.0	148706.0	81998.0	112059.0	66342.0	87514.0	54581.0	69958.0	46135.0	57573.0	40445.0	48658.0	34796.0	40813.0	30095.0	34798.0	26135.0	30542.0	23475.0	27123.0
106_220322_L001.srt.dp_stats	85307381.0	2364826.0	39343207.0	3938812.0	40025235.0	4820017.0	35144761.0	4741775.0	27099620.0	4017225.0	18875052.0	3040834.0	12093041.0	2122354.0	7275172.0	1397384.0	4190717.0	901094.0	2372225.0	575295.0	1343177.0	370395.0	771766.0	247232.0	463866.0	172566.0	294366.0	124119.0	197287.0	93533.0	140169.0	72165.0	104978.0	58941.0	80610.0	48743.0	64630.0	40687.0	52847.0	34685.0	43730.0	30727.0	37525.0	26584.0	32303.0	23419.0	28028.0	20157.0	24086.0	17944.0	21353.0
107_220322_L001.srt.dp_stats	67488738.0	3200017.0	21859222.0	5927915.0	26438807.0	8465353.0	28336448.0	9762900.0	26418791.0	9518598.0	21781129.0	8136325.0	16254162.0	6295397.0	11170378.0	4514503.0	7235238.0	3055488.0	4482133.0	2005044.0	2719815.0	1306172.0	1643997.0	856390.0	1004161.0	575266.0	638220.0	396256.0	425889.0	283068.0	297358.0	209283.0	214406.0	159891.0	160692.0	125418.0	124898.0	102626.0	100801.0	84778.0	82312.0	70332.0	68019.0	58827.0	57146.0	50469.0	49287.0	43906.0	43152.0	39365.0	38180.0
108_220322_L001.srt.dp_stats	81718676.0	3231327.0	38815656.0	5580896.0	41162109.0	6715835.0	35956753.0	6319107.0	26926981.0	5040002.0	17820921.0	3568788.0	10769527.0	2341938.0	6134360.0	1470164.0	3386921.0	911565.0	1858139.0	570525.0	1041865.0	367599.0	607128.0	247700.0	376012.0	174375.0	247001.0	128177.0	170971.0	98002.0	124251.0	75725.0	95502.0	60926.0	75071.0	51335.0	60969.0	43927.0	50551.0	37279.0	42569.0	32915.0	36643.0	29141.0	31862.0	26360.0	28383.0	23777.0	25269.0	21663.0	22957.0
109_220322_L001.srt.dp_stats	81890669.0	3787021.0	35535630.0	6444903.0	36841533.0	7792159.0	32702198.0	7604763.0	25428278.0	6358918.0	17855699.0	4730382.0	11538546.0	3247078.0	6992466.0	2115559.0	4058989.0	1321388.0	2305084.0	819257.0	1300125.0	513953.0	749045.0	329601.0	446361.0	220436.0	281937.0	156556.0	186285.0	112544.0	133457.0	87209.0	98040.0	69179.0	74953.0	54354.0	60032.0	45937.0	49771.0	39259.0	41651.0	33712.0	36264.0	29640.0	31855.0	26756.0	28375.0	23474.0	24866.0	21465.0	22472.0
