Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
100_220322_L001.srt.dp	results/100_220322_L001/100_220322_L001.srt.dp.bam	19594561.0	19020757.0	1652169247.0	1646048898.0	44660.2455	82.0	42.0069	0.0249	5.4011	97.07161594485328
101_220322_L001.srt.dp	results/101_220322_L001/101_220322_L001.srt.dp.bam	21776640.0	21269087.0	1948335306.0	1941102994.0	49779.4918	88.0	42.198	0.0251	6.3693	97.6692777214483
102_220322_L001.srt.dp	results/102_220322_L001/102_220322_L001.srt.dp.bam	19033859.0	18557916.0	1640339446.0	1634432919.0	48578.4508	85.0	42.0188	0.0247	5.3624	97.49949287740337
103_220322_L001.srt.dp	results/103_220322_L001/103_220322_L001.srt.dp.bam	20067112.0	19567904.0	1792852450.0	1785612533.0	49068.1059	90.0	42.4022	0.026	5.861	97.51230770028094
104_220322_L001.srt.dp	results/104_220322_L001/104_220322_L001.srt.dp.bam	21972441.0	21378554.0	1899775432.0	1892287509.0	45513.3628	86.0	42.182	0.0256	6.2105	97.29712779749869
105_220322_L001.srt.dp	results/105_220322_L001/105_220322_L001.srt.dp.bam	32974459.0	31883518.0	2184953722.0	2178853202.0	50627.0667	65.0	40.4221	0.0229	7.1428	96.69155754761587
106_220322_L001.srt.dp	results/106_220322_L001/106_220322_L001.srt.dp.bam	28269743.0	27330664.0	1866302398.0	1860923359.0	40542.4077	64.0	40.3497	0.0228	6.1011	96.6781480822093
107_220322_L001.srt.dp	results/107_220322_L001/107_220322_L001.srt.dp.bam	32582249.0	31549480.0	2507875195.0	2499425473.0	77620.9782	76.0	41.0677	0.0255	8.1984	96.83027098589787
108_220322_L001.srt.dp	results/108_220322_L001/108_220322_L001.srt.dp.bam	25741066.0	24856715.0	1771078511.0	1765321387.0	49989.2736	66.0	40.7397	0.0247	5.7898	96.56443521025896
109_220322_L001.srt.dp	results/109_220322_L001/109_220322_L001.srt.dp.bam	26152320.0	25343504.0	1880115495.0	1873960689.0	43592.2977	68.0	40.9566	0.0244	6.1462	96.90728776643908
10_220322_L001.srt.dp	results/10_220322_L001/10_220322_L001.srt.dp.bam	19288968.0	18558366.0	1270797975.0	1266929739.0	45513.1418	63.0	40.4719	0.0233	4.1543	96.21233235495025
110_220322_L001.srt.dp	results/110_220322_L001/110_220322_L001.srt.dp.bam	28509434.0	27686775.0	2100406568.0	2093527986.0	48752.6865	71.0	41.0891	0.0243	6.8664	97.11443236649315
111_220322_L001.srt.dp	results/111_220322_L001/111_220322_L001.srt.dp.bam	27819719.0	26915798.0	1877831692.0	1872288187.0	49128.1043	65.0	40.4337	0.0234	6.1388	96.75079032969384
112_220322_L001.srt.dp	results/112_220322_L001/112_220322_L001.srt.dp.bam	19536782.0	18868570.0	1342136007.0	1337789549.0	49278.3761	66.0	40.7225	0.0243	4.3875	96.57972331369619
113_220322_L001.srt.dp	results/113_220322_L001/113_220322_L001.srt.dp.bam	30628554.0	29704057.0	2211168600.0	2203654162.0	49014.9607	70.0	41.3334	0.0251	7.2285	96.98158456974495
114_220322_L001.srt.dp	results/114_220322_L001/114_220322_L001.srt.dp.bam	23733017.0	23318751.0	1946908882.0	1940179025.0	44043.7819	80.0	41.7233	0.025	6.3646	98.25447392550218
