Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
100_220322_L001.flagfile	19594561	0	0	0	283393	0	1089426	0	19020757	0	97.07	nan	19311168	0	9655584	0	9655584	0	18490914	0	95.75	nan	18679002	0	58362	0	0.3	nan	84896	0	31152	0	19594561
101_220322_L001.flagfile	21776640	0	0	0	347030	0	1456771	0	21269087	0	97.67	nan	21429610	0	10714805	0	10714805	0	20611282	0	96.18	nan	20851588	0	70469	0	0.33	nan	108810	0	40242	0	21776640
102_220322_L001.flagfile	19033859	0	0	0	309467	0	1388249	0	18557916	0	97.5	nan	18724392	0	9362196	0	9362196	0	18010030	0	96.18	nan	18189292	0	59157	0	0.32	nan	86948	0	30667	0	19033859
103_220322_L001.flagfile	20067112	0	0	0	356070	0	1245993	0	19567904	0	97.51	nan	19711042	0	9855521	0	9855521	0	18960580	0	96.19	nan	19156646	0	55188	0	0.28	nan	99626	0	35485	0	20067112
104_220322_L001.flagfile	21972441	0	0	0	358327	0	1504150	0	21378554	0	97.3	nan	21614114	0	10807057	0	10807057	0	20772110	0	96.1	nan	20959498	0	60729	0	0.28	nan	97208	0	33976	0	21972441
105_220322_L001.flagfile	32974459	0	0	0	469155	0	2744411	0	31883518	0	96.69	nan	32505304	0	16252652	0	16252652	0	31101288	0	95.68	nan	31322872	0	91491	0	0.28	nan	96058	0	31056	0	32974459
106_220322_L001.flagfile	28269743	0	0	0	316843	0	2091332	0	27330664	0	96.68	nan	27952900	0	13976450	0	13976450	0	26748490	0	95.69	nan	26938636	0	75185	0	0.27	nan	69850	0	21739	0	28269743
107_220322_L001.flagfile	32582249	0	0	0	720843	0	2560672	0	31549480	0	96.83	nan	31861406	0	15930703	0	15930703	0	30400116	0	95.41	nan	30734042	0	94595	0	0.3	nan	186816	0	77033	0	32582249
108_220322_L001.flagfile	25741066	0	0	0	351336	0	1682895	0	24856715	0	96.56	nan	25389730	0	12694865	0	12694865	0	24249944	0	95.51	nan	24440492	0	64887	0	0.26	nan	86182	0	31380	0	25741066
109_220322_L001.flagfile	26152320	0	0	0	324320	0	1877676	0	25343504	0	96.91	nan	25828000	0	12914000	0	12914000	0	24739280	0	95.78	nan	24949582	0	69602	0	0.27	nan	88066	0	31501	0	26152320
10_220322_L001.flagfile	19288968	0	0	0	229510	0	1484393	0	18558366	0	96.21	nan	19059458	0	9529729	0	9529729	0	18106754	0	95.0	nan	18275454	0	53402	0	0.28	nan	61718	0	22349	0	19288968
110_220322_L001.flagfile	28509434	0	0	0	384112	0	2505191	0	27686775	0	97.11	nan	28125322	0	14062661	0	14062661	0	27019586	0	96.07	nan	27228164	0	74499	0	0.26	nan	95524	0	34350	0	28509434
111_220322_L001.flagfile	27819719	0	0	0	368117	0	2356657	0	26915798	0	96.75	nan	27451602	0	13725801	0	13725801	0	26266654	0	95.68	nan	26475794	0	71887	0	0.26	nan	87422	0	31085	0	27819719
112_220322_L001.flagfile	19536782	0	0	0	268608	0	1387035	0	18868570	0	96.58	nan	19268174	0	9634087	0	9634087	0	18399660	0	95.49	nan	18544898	0	55064	0	0.29	nan	67626	0	25288	0	19536782
113_220322_L001.flagfile	30628554	0	0	0	403502	0	2818483	0	29704057	0	96.98	nan	30225052	0	15112526	0	15112526	0	29011468	0	95.98	nan	29218438	0	82117	0	0.27	nan	101948	0	37236	0	30628554
