"#(indexStart,indexStop)(firstPos_withData,lastPos_withData)(WinStart,WinStop)",Chr,WinCenter,tW,tP,tF,tH,tL,Tajima,fuf,fud,fayh,zeng,nSites,filename,cluster,month,year,pi,treated,timep
"(0,85595)(759,41962931)(0,41962931)",AgamP4_3L,20981465,20370.654541,12671.968841,0,0,0,-1.43376,1.1686239999999999,2.562326,0.5062679999999999,-0.829672,85595,1_11_2015,1,11,2015,0.14804566669782113,1,2015_11
"(0,221605)(1489,41961784)(0,41961784)",AgamP4_3L,20980892,55934.587175,35802.038071999996,0,0,0,-1.411324,1.189555,2.450836,0.558059,-0.913712,221605,1_7_2015,1,7,2015,0.16155789838676923,1,2015_7
"(0,138850)(759,41958002)(0,41958002)",AgamP4_3L,20979001,33481.629806,19983.379967999997,0,0,0,-1.5405229999999999,1.118363,2.535676,0.493185,-0.847646,138850,1_9_2014,1,9,2014,0.14392063354699314,1,2014_9
"(0,143110)(702,41962260)(0,41962260)",AgamP4_3L,20981130,34058.242807999995,20101.431109999998,0,0,0,-1.5546579999999999,1.1088069999999999,2.5624469999999997,0.48033899999999996,-0.8296779999999999,143110,1_9_2015,1,9,2015,0.14046140109007055,1,2015_9
"(0,284205)(721,41962551)(0,41962551)",AgamP4_3L,20981275,70566.954848,45628.190683,0,0,0,-1.37275,1.205057,2.479951,0.552897,-0.889307,284205,10_11_2014,10,11,2014,0.16054675562710016,1,2014_11
"(0,498085)(721,41963271)(0,41963271)",AgamP4_3L,20981635,133377.077382,96443.01691199999,0,0,0,-1.124931,1.332666,2.358805,0.6770959999999999,-1.008073,498085,10_7_2015,10,7,2015,0.19362762763785296,1,2015_7
"(0,86142)(759,41961517)(0,41961517)",AgamP4_3L,20980758,20500.188368,12229.823317,0,0,0,-1.530495,1.120723,2.562328,0.485516,-0.829672,86142,10_9_2014,10,9,2014,0.14197282762183372,1,2014_9
"(0,226269)(716,41962946)(0,41962946)",AgamP4_3L,20981473,58143.402739,37887.14518,0,0,0,-1.3804049999999999,1.207598,2.4209359999999998,0.580387,-0.941155,226269,10_9_2015,10,9,2015,0.16744293376467834,1,2015_9
"(0,193790)(915,41961796)(0,41961796)",AgamP4_3L,20980898,47393.721888,28437.361263,0,0,0,-1.5403989999999999,1.121327,2.508209,0.5040169999999999,-0.8674179999999999,193790,11_11_2014,11,11,2014,0.14674318211982043,1,2014_11
"(0,203502)(357,41961947)(0,41961947)",AgamP4_3L,20980973,49769.024761,32071.787934,0,0,0,-1.369448,1.204283,2.508215,0.541304,-0.8674179999999999,203502,11_11_2015,11,11,2015,0.15759937462039686,1,2015_11
"(0,363032)(759,41962946)(0,41962946)",AgamP4_3L,20981473,91634.77206999999,58118.438342999994,0,0,0,-1.4341899999999999,1.1787349999999999,2.450872,0.552978,-0.9137149999999999,363032,11_7_2015,11,7,2015,0.16009177797824983,1,2015_7
"(0,184592)(683,41962748)(0,41962748)",AgamP4_3L,20981374,41592.276645,24696.402272,0,0,0,-1.496989,1.128726,2.68615,0.45399999999999996,-0.7593479999999999,184592,11_9_2014,11,9,2014,0.1337891255959088,1,2014_9
"(0,133704)(569,41961309)(0,41961309)",AgamP4_3L,20980654,33746.358254,21854.417758,0,0,0,-1.381754,1.203541,2.4507749999999997,0.56463,-0.913708,133704,11_9_2015,11,9,2015,0.16345373181056663,1,2015_9
"(0,227287)(721,41961128)(0,41961128)",AgamP4_3L,20980564,54807.497679,34121.937367,0,0,0,-1.4422089999999999,1.166604,2.535745,0.5144489999999999,-0.84765,227287,12_11_2015,12,11,2015,0.15012709643314398,1,2015_11
"(0,422484)(759,41962967)(0,41962967)",AgamP4_3L,20981483,119078.14506699999,85375.53876699999,0,0,0,-1.188141,1.315153,2.294044,0.7156819999999999,-1.098848,422484,12_7_2015,12,7,2015,0.20207993383654763,1,2015_7
"(0,307163)(759,41961944)(0,41961944)",AgamP4_3L,20980972,74069.679307,46923.015931999995,0,0,0,-1.4004839999999998,1.187077,2.5357719999999997,0.523473,-0.847652,307163,12_9_2014,12,9,2014,0.15276259162724676,1,2014_9
"(0,125886)(453,41961553)(0,41961553)",AgamP4_3L,20980776,29594.359861999998,16477.813534,0,0,0,-1.670281,1.048656,2.588467,0.446775,-0.813252,125886,12_9_2015,12,9,2015,0.1308947264509159,1,2015_9
"(0,241306)(577,41960134)(0,41960134)",AgamP4_3L,20980067,56728.464783999996,34241.156289,0,0,0,-1.493896,1.136849,2.5885689999999997,0.484336,-0.813257,241306,18_8_2014,18,8,2014,0.1418993157609011,0,2014_8
"(0,114844)(573,41962570)(0,41962570)",AgamP4_3L,20981285,27330.865433,16159.822223,0,0,0,-1.550633,1.110782,2.562402,0.48119999999999996,-0.829676,114844,18_9_2014,18,9,2014,0.1407110708700498,1,2014_9
"(0,159890)(721,41962927)(0,41962927)",AgamP4_3L,20981463,39101.117496,24600.756535999997,0,0,0,-1.428194,1.175762,2.508184,0.528489,-0.867416,159890,18_9_2015,18,9,2015,0.1538605074488711,1,2015_9
"(0,268835)(473,41962898)(0,41962898)",AgamP4_3L,20981449,65746.145691,42232.858755,0,0,0,-1.377349,1.200462,2.508242,0.539582,-0.86742,268835,2_9_2014,2,9,2014,0.15709583482433465,1,2014_9
"(0,281419)(473,41961349)(0,41961349)",AgamP4_3L,20980674,66159.39089699999,41102.087581,0,0,0,-1.4273399999999998,1.170118,2.5885849999999997,0.49850799999999995,-0.8132579999999999,281419,2_9_2015,2,9,2015,0.14605299422213852,1,2015_9
"(0,466130)(721,41962836)(0,41962836)",AgamP4_3L,20981418,135510.68302,101481.099733,0,0,0,-1.076521,1.3715469999999998,2.2613119999999998,0.777755,-1.158131,466130,20_11_2014,20,11,2014,0.21770986577349666,0,2014_11
"(0,204765)(721,41962193)(0,41962193)",AgamP4_3L,20981096,48138.380203,28857.305613999997,0,0,0,-1.509464,1.12906,2.588549,0.481021,-0.813256,204765,20_7_2015,20,7,2015,0.14092889709667178,1,2015_7
"(0,204120)(721,41961360)(0,41961360)",AgamP4_3L,20980680,49918.742943,31361.147984,0,0,0,-1.431718,1.174067,2.508215,0.527722,-0.8674179999999999,204120,20_9_2014,20,9,2014,0.15364074066235547,0,2014_9
"(0,125810)(560,41962570)(0,41962570)",AgamP4_3L,20981285,29575.856295999998,16689.022887,0,0,0,-1.6420549999999998,1.062762,2.588466,0.452785,-0.813252,125810,20_9_2015,20,9,2015,0.13265259428503298,1,2015_9
"(0,252438)(759,41962931)(0,41962931)",AgamP4_3L,20981465,64865.896311,43719.104795,0,0,0,-1.2917429999999999,1.24907,2.4209449999999997,0.600318,-0.941156,252438,26_7_2015,26,7,2015,0.1731874947313796,1,2015_7
"(0,123431)(721,41962284)(0,41962284)",AgamP4_3L,20981142,30646.351077,18351.541738,0,0,0,-1.558316,1.115978,2.479851,0.512041,-0.8893,123431,26_9_2014,26,9,2014,0.14867854702627378,0,2014_9
"(0,138925)(721,41962484)(0,41962484)",AgamP4_3L,20981242,33498.980485,19636.645926999998,0,0,0,-1.581256,1.098389,2.535676,0.484376,-0.847646,138925,26_9_2015,26,9,2015,0.14134710042828863,1,2015_9
"(0,166843)(759,41962693)(0,41962693)",AgamP4_3L,20981346,41425.527683,26845.129708,0,0,0,-1.367151,1.207719,2.479897,0.5541269999999999,-0.889303,166843,29_7_2014,29,7,2014,0.1609005454708918,0,2014_7
"(0,192265)(759,41962588)(0,41962588)",AgamP4_3L,20981294,45200.029685,25984.742797,0,0,0,-1.602104,1.0827579999999999,2.58854,0.46129499999999996,-0.813256,192265,29_9_2014,29,9,2014,0.13515066599225029,0,2014_9
"(0,106075)(721,41962713)(0,41962713)",AgamP4_3L,20981356,24936.219631,14421.680322,0,0,0,-1.5890469999999999,1.089238,2.588427,0.46406899999999995,-0.8132499999999999,106075,29_9_2015,29,9,2015,0.13595739167570114,0,2015_9
"(0,518213)(569,41962836)(0,41962836)",AgamP4_3L,20981418,133161.891216,86566.53489899999,0,0,0,-1.386479,1.20478,2.420984,0.579025,-0.941159,518213,3_7_2015,3,7,2015,0.16704817304660438,1,2015_7
"(0,226401)(473,41962542)(0,41962542)",AgamP4_3L,20981271,56214.075155,36915.361153,0,0,0,-1.3335219999999999,1.2238689999999999,2.479931,0.5615319999999999,-0.8893059999999999,226401,3_9_2014,3,9,2014,0.1630529951413642,1,2014_9
"(0,168005)(890,41962318)(0,41962318)",AgamP4_3L,20981159,39983.655479,23203.017390999998,0,0,0,-1.592202,1.090226,2.562473,0.47228699999999996,-0.82968,168005,3_9_2015,3,9,2015,0.13810908836641766,1,2015_9
"(0,140003)(759,41962581)(0,41962581)",AgamP4_3L,20981290,33318.677023,20558.09948,0,0,0,-1.452959,1.159167,2.562443,0.5021559999999999,-0.8296779999999999,140003,36_7_2014,36,7,2014,0.14684042113383286,0,2014_7
"(0,357525)(759,41962660)(0,41962660)",AgamP4_3L,20981330,98068.878764,70746.046685,0,0,0,-1.1491099999999999,1.32616,2.326654,0.695952,-1.049672,357525,36_7_2015,36,7,2015,0.19787720211174042,0,2015_7
