univill,lat,longitude,y_proj,x_proj,altitude
1,10.70753956,-4.425630093,1184002.716,344092.1177,297
1,10.70510769,-4.424487591,1183733.111,344215.8468,301
1,10.71543121,-4.43210268,1184878.764,343388.1697,314
1,10.70611477,-4.414653778,1183839.59,345291.9967,295
1,10.71613598,-4.435482025,1184958.43,343018.9312,315
1,10.7229557,-4.437777519,1185713.893,342771.3386,337
1,10.70610523,-4.426224232,1183844.298,344026.3614,304
1,10.70541668,-4.424352646,1183767.279,344230.7574,296
1,10.69138241,-4.420880318,1182213.282,344603.4351,288
1,10.72023201,-4.441949368,1185414.792,342313.6533,311
1,10.71978664,-4.422784328,1185355.806,344409.6342,289
1,10.68783283,-4.436444283,1181828.629,342899.0956,298
1,10.723979,-4.437074661,1185826.69,342848.7303,335
1,10.72045326,-4.424969673,1185430.611,344170.9496,298
1,10.67825985,-4.418778896,1180760.927,344826.6406,296
1,10.70682335,-4.425557137,1183923.426,344099.7087,298
1,10.68961239,-4.419274807,1182016.776,344778.1177,295
1,10.722332,-4.436228752,1185644.084,342940.4392,328
1,10.70491028,-4.416864395,1183707.484,345049.598,285
1,10.7199564,-4.419951439,1185373.158,344719.5866,292
1,10.72344685,-4.437366486,1185767.962,342816.57,340
1,10.70559788,-4.415701866,1183782.982,345177.0748,292
1,10.72303772,-4.438023567,1185723.114,342744.4558,341
1,10.72397614,-4.437876701,1185826.859,342761.0388,339
1,10.71739483,-4.433203697,1185096.549,343268.7482,315
1,10.67713928,-4.418987751,1180637.05,344803.1856,290
1,10.73100948,-4.423547745,1186597.382,344331.8922,297
1,10.72327614,-4.437880039,1185749.405,342760.3018,335
1,10.69937801,-4.417851925,1183096.107,344938.7464,289
1,10.69109344,-4.438315868,1182190.184,342696.0516,310
1,10.71614838,-4.433295727,1184958.744,343258.0221,310
1,10.72950554,-4.421533108,1186430.024,344551.4474,305
1,10.70178699,-4.429677963,1183368.508,343646.4129,302
1,10.71879673,-4.440037727,1185255.028,342521.9671,312
1,10.68540096,-4.420893192,1181551.752,344598.9708,301
1,10.72277355,-4.437430382,1185693.627,342809.2008,336
1,10.7152729,-4.447320461,1184869.095,341723.5832,304
1,10.72309208,-4.438135624,1185729.131,342732.2717,336
1,10.71600819,-4.433763504,1184943.436,343206.8292,312
1,10.73423767,-4.421516418,1186953.396,344555.699,323
1,10.72864628,-4.42165184,1186335.117,344538.027,297
1,10.71698952,-4.43253994,1185051.361,343341.1692,313
1,10.73197174,-4.417946815,1186700.977,344944.9579,317
1,10.73404312,-4.422880173,1186932.625,344406.4457,314
1,10.73463821,-4.424280167,1186999.144,344253.5987,306
1,10.71900654,-4.423780441,1185270.003,344300.256,292
1,10.70158005,-4.419000149,1183340.237,344814.2856,298
1,10.72286034,-4.437008381,1185702.933,342855.4045,330
1,10.68532658,-4.420320034,1181543.251,344661.6297,300
1,10.7055397,-4.416480541,1183776.838,345091.8623,285
1,10.68034363,-4.421097755,1180992.526,344574.0361,295
1,10.71689987,-4.433244228,1185041.8,343264.0744,316
1,10.71658516,-4.433065891,1185006.945,343283.4128,312
1,10.68627453,-4.420008183,1181647.896,344696.2114,303
1,10.7230587,-4.444667816,1185728.778,342017.7843,300
1,10.69003868,-4.421690464,1182065.113,344514.1078,283
1,10.70147324,-4.428325653,1183333.125,343794.1297,296
1,10.70905399,-4.413111687,1184163.835,345462.1367,284
1,10.71881199,-4.438826084,1185256.152,342654.508,317
1,10.73085785,-4.419945717,1186578.856,344725.7534,311
1,10.68768883,-4.420294762,1181804.514,344665.5733,302
1,10.71632385,-4.445559502,1184984.341,341916.7224,313
1,10.69147301,-4.437680244,1182231.883,342765.7472,286
1,10.67730141,-4.418713093,1180654.832,344833.342,290
1,10.73305225,-4.417854786,1186820.481,344955.5932,319
1,10.71983528,-4.425400257,1185362.433,344123.556,299
1,10.67738533,-4.4186306,1180664.117,344842.3714,295
1,10.67739296,-4.418438435,1180664.873,344863.4454,296
1,10.67699528,-4.418969154,1180621.105,344805.1472,286
1,10.73765182,-4.425993443,1187333.294,344067.7789,314
1,10.71646023,-4.444041729,1184998.645,342082.828,317
1,10.72140694,-4.447741985,1185547.682,341680.6747,308
1,10.67728329,-4.4214077,1180654.174,344538.5256,267
1,10.71918106,-4.422492981,1185288.708,344441.2107,292
1,10.71598053,-4.432791233,1184939.863,343313.1544,311
1,10.67743206,-4.418475628,1180669.22,344859.3663,295
1,10.67718029,-4.418462753,1180641.292,344860.6603,298
1,10.70708561,-4.4254179,1183952.345,344115.0622,301
1,10.73277283,-4.422718048,1186792.04,344423.4977,313
1,10.71654797,-4.432287216,1185002.443,343368.5561,309
1,10.68770504,-4.420080185,1181806.224,344689.0718,294
1,10.73727036,-4.42207098,1187289.145,344496.5707,317
1,10.68982983,-4.43683672,1182049.632,342857.158,307
1,10.72511387,-4.445286751,1185956.454,341951.1374,317
1,10.71637917,-4.446966648,1184991.182,341762.8463,312
1,10.73756981,-4.42501545,1187323.759,344174.7117,314
1,10.69781685,-4.416438103,1182922.727,345092.608,296
2,10.66086769,-4.421849251,1178838.873,344481.9253,300
2,10.66879749,-4.411548138,1179710.721,345612.8386,300
2,10.67434025,-4.403427601,1180319.726,346503.9308,311
2,10.67383194,-4.404105186,1180263.875,346429.597,301
2,10.66061687,-4.418962002,1178809.651,344797.6475,300
2,10.6726284,-4.410515308,1180133.925,345727.7559,294
2,10.67318058,-4.404993057,1180192.259,346332.1036,304
2,10.66228104,-4.416043758,1178992.299,345117.74,301
2,10.67304707,-4.40435791,1180177.184,346401.5494,308
2,10.67323875,-4.404768944,1180198.608,346356.6884,302
2,10.66147709,-4.417242527,1178903.913,344986.1616,301
2,10.66279411,-4.416097164,1179049.06,345112.1314,306
2,10.67345715,-4.403965473,1180222.293,346444.658,304
2,10.66264915,-4.419075489,1179034.505,344786.2348,307
2,10.67164135,-4.409199238,1180024.102,345871.2151,298
2,10.66274166,-4.416244507,1179043.293,345095.985,307
2,10.66096306,-4.420251846,1178848.575,344656.6926,297
2,10.66685486,-4.415459156,1179497.797,345184.0111,294
2,10.66182613,-4.418419361,1178943.132,344857.588,305
2,10.6603241,-4.41867733,1178777.099,344828.6393,295
2,10.66111183,-4.418549061,1178864.242,344843.0866,303
2,10.67416763,-4.403954506,1180300.937,346446.2337,305
2,10.66420841,-4.419625759,1179207.266,344726.8275,306
2,10.66037464,-4.419393539,1178783.075,344750.3105,294
2,10.66687965,-4.414371967,1179499.988,345302.9337,298
2,10.67381287,-4.404224873,1180261.793,346416.458,304
2,10.66212463,-4.416775703,1178975.311,345037.6012,305
2,10.66118336,-4.417435646,1178871.563,344964.9233,298
2,10.66012287,-4.42303133,1178757.073,344352.2181,302
2,10.67312908,-4.404289722,1180186.161,346409.0531,306
2,10.67337894,-4.404212952,1180213.785,346417.5692,312
2,10.67314053,-4.405223846,1180187.923,346306.8682,304
2,10.66004181,-4.423370361,1178748.307,344315.0853,300
2,10.67258167,-4.410731316,1180128.898,345704.0848,293
2,10.6726675,-4.405608654,1180135.765,346264.5347,304
2,10.66153049,-4.421538353,1178911.991,344516.2354,302
2,10.67388153,-4.403729916,1180269.158,346470.6453,301
2,10.66423702,-4.416962624,1179209.065,345018.1859,309
2,10.67403984,-4.404057503,1180286.842,346434.8735,302
2,10.66670322,-4.414922237,1179480.805,345242.6562,302
2,10.67452145,-4.40387249,1180340.035,346455.3979,310
2,10.66235352,-4.417574883,1179001.019,344950.2393,321
2,10.66685867,-4.415257931,1179498.132,345206.029,299
2,10.67403984,-4.404057503,1180286.842,346434.8735,302
2,10.67409897,-4.403468609,1180293.048,346499.3256,307
2,10.66130257,-4.418606758,1178885.351,344836.8381,301
2,10.66653538,-4.414513588,1179462.069,345287.2543,297
2,10.67132378,-4.416560173,1179992.682,345065.815,293
2,10.66279507,-4.418842316,1179050.501,344811.8366,306
2,10.67056751,-4.410639286,1179906.01,345713.1274,298
2,10.66517258,-4.415957451,1179312.046,345128.6481,301
2,10.67434597,-4.403154373,1180320.221,346533.8339,308
2,10.66507912,-4.419584274,1179303.472,344731.8438,305
2,10.66156197,-4.422415733,1178915.899,344420.273,303
2,10.66154003,-4.416527748,1178910.591,345064.4111,305
2,10.66034603,-4.419167042,1178779.792,344775.0813,301
2,10.66666794,-4.41450119,1179476.701,345288.7061,296
2,10.66261578,-4.418687344,1179030.583,344828.7187,297
2,10.66199875,-4.422609329,1178964.332,344399.3134,304
2,10.67467022,-4.402398109,1180355.74,346616.749,310
2,10.67152596,-4.407181263,1180010.285,346091.8985,301
2,10.66065216,-4.418434143,1178813.364,344855.3799,304
2,10.6619215,-4.418236256,1178953.636,344877.7089,304
2,10.66141224,-4.416236401,1178896.28,345096.2293,306
2,10.6684761,-4.412265301,1179675.536,345534.2039,292
2,10.6628828,-4.419909954,1179060.806,344695.1071,305
2,10.66128826,-4.418863773,1178883.922,344808.7441,308
2,10.67277145,-4.410774708,1180149.851,345699.4392,293
2,10.6614027,-4.418830872,1178896.551,344812.4056,302
2,10.66629505,-4.414817333,1179435.588,345253.921,300
2,10.66583252,-4.415328979,1179384.671,345197.7067,293
2,10.66347027,-4.420586109,1179126.103,344621.4239,305
2,10.66165447,-4.41607523,1178922.953,345113.9942,302
2,10.6603756,-4.418486595,1178782.724,344849.4993,300
2,10.66011906,-4.42351532,1178756.853,344299.2615,300
2,10.67327404,-4.404497623,1180202.348,346386.3592,303
2,10.67302895,-4.408694267,1180177.348,345927.1319,298
2,10.66419792,-4.418886662,1179205.671,344807.6882,310
2,10.66418362,-4.419398785,1179204.334,344751.6642,309
2,10.67353725,-4.404390812,1180231.413,346398.1735,307
2,10.66609478,-4.414836884,1179413.45,345251.7007,305
2,10.66290188,-4.418219566,1179061.979,344880.0114,304
2,10.65636253,-4.424951077,1178342.104,344140.2632,304
2,10.66165257,-4.41615963,1178922.839,345104.7592,308
2,10.66614532,-4.415650368,1179419.475,345162.7457,302
2,10.66096497,-4.421679974,1178849.506,344500.4519,301
2,10.66354561,-4.41865015,1179133.485,344833.2337,310
2,10.66609097,-4.415672779,1179413.461,345160.2523,301
2,10.66752815,-4.413355827,1179571.271,345414.4318,299
2,10.67439747,-4.402897358,1180325.785,346561.9999,310
2,10.66286945,-4.418426514,1179058.533,344857.3739,301
2,10.67487431,-4.403887749,1180379.062,346453.8784,306
2,10.66090584,-4.42110014,1178842.716,344563.8939,303
2,10.66641426,-4.414442062,1179448.555,345295.0232,302
2,10.66520405,-4.418914795,1179316.939,344805.1264,310
2,10.66135597,-4.417824745,1178890.818,344922.4263,302
2,10.67224503,-4.408660412,1180090.551,345930.4418,301
2,10.66642475,-4.414866924,1179449.935,345248.5484,297
2,10.66457367,-4.416400433,1179246.012,345079.8746,302
