TYPE,IDENT,LAT,LONG,Y_PROJ,X_PROJ,ALTITUDE
WAYPOINT,18001,10.58330451,-4.59288614,1170350.855,325726.0882,316.00
WAYPOINT,18002,10.58634991,-4.59136214,1170686.848,325894.5847,314.00
WAYPOINT,18003,10.586711,-4.59164109,1170726.943,325864.2623,315.00
WAYPOINT,18004,10.6021301,-4.58146621,1172426.739,326986.3827,313.00
WAYPOINT,18005,10.60885825,-4.57606995,1173167.925,327580.6462,291.00
WAYPOINT,18006,10.60863764,-4.57656993,1173143.801,327525.8127,298.00
WAYPOINT,18007,10.61255559,-4.57705951,1173577.425,327474.4376,296.00
WAYPOINT,18008,10.61398429,-4.57558656,1173734.633,327636.4126,303.00
WAYPOINT,18009,10.61459726,-4.57580214,1173802.551,327613.1669,300.00
WAYPOINT,18010,10.61533662,-4.57596291,1173884.419,327595.9896,299.00
WAYPOINT,18011,10.61596368,-4.57728809,1173954.511,327451.3377,290.00
WAYPOINT,18012,10.6148265,-4.576798,1173828.459,327504.3263,298.00
WAYPOINT,18013,10.61715013,-4.5867091,1174090.986,326421.1421,295.00
WAYPOINT,18014,10.61523537,-4.59098361,1173881.589,325952.3335,308.00
WAYPOINT,18015,10.61104476,-4.5939757,1173419.752,325622.5553,315.00
WAYPOINT,18016,10.6138216,-4.55907304,1173707.531,329443.2637,289.00
WAYPOINT,18017,10.6138568,-4.55864858,1173711.192,329489.7283,297.00
WAYPOINT,18018,10.61361264,-4.55865042,1173684.187,329489.3917,295.00
WAYPOINT,18019,10.61318574,-4.55873231,1173637.015,329480.1945,291.00
WAYPOINT,18020,10.61361792,-4.55911109,1173685.024,329438.9873,291.00
WAYPOINT,18021,10.61357961,-4.55987133,1173681.204,329355.7793,291.00
WAYPOINT,18022,10.61258392,-4.55940672,1173570.82,329406.0655,297.00
WAYPOINT,18023,10.61231763,-4.5589945,1173541.14,329451.0239,300.00
WAYPOINT,18024,10.61204866,-4.55798767,1173510.838,329561.0443,296.00
WAYPOINT,18025,10.61028158,-4.55961828,1173316.283,329381.6394,301.00
WAYPOINT,18026,10.60874292,-4.5607283,1173146.706,329259.3241,302.00
WAYPOINT,18027,10.60903369,-4.5613043,1173179.184,329196.4575,302.00
WAYPOINT,18028,10.60942931,-4.56220712,1173223.438,329097.8876,302.00
WAYPOINT,18029,10.60842583,-4.56144646,1173112.029,329180.5645,296.00
WAYPOINT,18030,10.60726468,-4.56125041,1172983.491,329201.3726,307.00
WAYPOINT,18031,10.60666638,-4.56171627,1172917.571,329150.0642,308.00
WAYPOINT,18032,10.60583398,-4.5621611,1172825.746,329100.9269,315.00
