HealthCentre,Cluster,StartLLINs,EndLLINs,StartDuoNets,EndDuoNets
Tiefora,1,20/06/2014,24/06/2014,21/08/2014,22/08/2014
Tiefora,1,24/06/2014,02/07/2014,20/08/2014,21/08/2014
Tiefora,10,20/06/2014,23/06/2014,18/09/2014,21/09/2014
Tiefora,10,18/06/2014,23/06/2014,19/09/2014,20/09/2014
Tiefora,11,18/06/2014,23/06/2014,21/08/2015,22/08/2015
Tiefora,11,21/06/2014,25/06/2014,23/08/2015,24/08/2015
Tiefora,11,20/06/2014,26/06/2014,23/08/2015,24/08/2015
Tiefora,12,19/06/2014,23/06/2014,20/07/2014,23/07/2014
Tiefora,12,19/06/2014,23/06/2014,22/07/2014,24/07/2014
Tiefora,12,19/06/2014,18/06/2014,22/07/2014,22/07/2014
Tiefora,14,18/06/2014,25/06/2014,27/09/2015,08/10/2015
Tiefora,15,NA,NA,19/06/2014,22/06/2014
Tiefora,15,NA,NA,18/06/2014,21/06/2014
Tiefora,16,18/06/2014,26/06/2014,21/08/2015,23/08/2015
Tiefora,16,18/06/2014,21/06/2014,22/08/2015,22/08/2015
Tiefora,16,18/06/2014,22/06/2014,25/08/2015,26/08/2015
Tiefora,17,20/06/2014,25/06/2014,20/08/2015,21/08/2015
Tiefora,17,13/06/2014,27/06/2014,20/08/2015,21/08/2015
Tiefora,17,21/06/2014,23/06/2014,20/08/2015,20/08/2015
Tiefora,24,19/06/2014,19/06/2014,20/08/2015,20/08/2015
Tiefora,24,18/06/2014,25/06/2014,24/08/2015,26/08/2015
Tiefora,24,19/06/2014,19/06/2014,20/08/2015,21/08/2015
Tiefora,30,18/06/2014,22/06/2014,23/07/2015,24/07/2015
Tiefora,33,NA,NA,12/06/2014,16/06/2014
Tiefora,34,18/06/2014,25/06/2014,22/07/2014,23/07/2014
Tiefora,35,20/06/2014,25/06/2014,27/09/2015,29/09/2015
Kankounadeni,13,25/06/2014,01/07/2014,23/06/2015,25/06/2015
Kankounadeni,13,30/06/2014,02/07/2014,23/06/2015,25/06/2015
Kankounadeni,13,29/06/2014,02/07/2014,23/06/2015,23/06/2015
Kankounadeni,13,30/06/2014,01/07/2014,23/06/2015,23/06/2015
Kankounadeni,19,NA,NA,29/06/2014,03/07/2014
Kankounadeni,19,NA,NA,30/06/2014,01/07/2014
Kankounadeni,19,NA,NA,29/06/2014,30/06/2014
Kankounadeni,26,29/06/2014,01/07/2014,24/06/2015,26/06/2015
Kankounadeni,26,29/06/2014,01/07/2014,24/06/2015,26/06/2015
Kankounadeni,28,02/07/2014,03/07/2014,19/09/2014,20/09/2014
Kankounadeni,28,30/06/2014,03/07/2014,18/09/2014,21/09/2014
Kankounadeni,28,29/06/2014,02/07/2014,18/09/2014,21/09/2014
Kankounadeni,29,29/06/2014,01/07/2014,23/07/2015,23/07/2015
Kankounadeni,29,29/06/2014,30/06/2014,26/07/2015,27/07/2015
Kankounadeni,31,30/06/2014,02/07/2014,19/09/2014,20/09/2014
Kankounadeni,31,29/06/2014,03/07/2014,21/09/2014,23/09/2014
Kankounadeni,31,30/06/2014,02/07/2014,21/09/2014,23/09/2014
Kankounadeni,32,NA,NA,25/06/2014,01/07/2014
Kankounadeni,32,NA,NA,30/06/2014,02/07/2014
Kankounadeni,36,30/06/2014,02/07/2014,23/06/2015,26/06/2015
Boussanra,4,04/07/2014,07/07/2014,25/07/2014,28/07/2014
Boussanra,4,04/07/2014,07/07/2014,25/07/2014,26/07/2014
Boussanra,20,04/07/2014,07/07/2014,20/08/2014,22/08/2014
Boussanra,20,04/07/2014,07/07/2014,20/08/2014,22/08/2014
Boussanra,20,04/07/2014,05/07/2014,20/08/2014,21/08/2014
Boussanra,20,04/07/2014,06/07/2014,20/08/2014,21/08/2014
Boussanra,21,04/07/2014,05/07/2014,20/08/2014,22/08/2014
Boussanra,21,05/07/2014,06/07/2014,24/08/2014,24/08/2014
Boussanra,21,05/07/2014,06/07/2014,23/08/2014,24/08/2014
Boussanra,22,04/07/2014,05/07/2014,24/07/2015,25/07/2015
Boussanra,22,04/07/2014,06/07/2014,24/07/2015,25/07/2015
Boussanra,23,NA,NA,04/07/2014,05/07/2014
Boussanra,23,NA,NA,05/07/2014,08/07/2014
Boussanra,25,04/07/2014,06/07/2014,01/10/2015,03/10/2015
Boussanra,25,04/07/2014,05/07/2014,27/09/2015,27/09/2015
Boussanra,25,04/07/2014,06/07/2014,01/10/2015,02/10/2015
Boussanra,27,05/07/2014,06/07/2014,25/07/2015,26/07/2015
Boussanra,27,04/07/2014,07/07/2014,,
Boussanra,27,04/07/2014,05/07/2014,26/07/2015,27/07/2015
Boussanra,27,04/07/2014,05/07/2014,26/07/2015,26/07/2015
Madiasso,5,12/07/2014,14/07/2014,22/09/2014,24/09/2014
Madiasso,5,13/07/2014,14/07/2014,22/09/2014,24/09/2014
Madiasso,5,12/07/2014,19/07/2014,22/09/2014,24/09/2014
Madiasso,6,12/07/2014,14/07/2014,27/06/2015,29/06/2015
Madiasso,8,12/07/2014,13/07/2014,26/08/2015,27/08/2015
Madiasso,8,12/07/2014,14/07/2014,26/08/2015,27/08/2015
Madiasso,8,12/07/2014,14/07/2014,26/08/2015,27/08/2015
Madiasso,39,14/07/2014,15/07/2014,05/10/2015,07/10/2015
Madiasso,40,12/07/2014,17/07/2014,24/08/2014,27/08/2014
Koflandé,3,15/07/2014,15/07/2014,27/06/2015,28/06/2015
Koflandé,3,12/07/2014,13/07/2014,27/06/2015,29/06/2015
Koflandé,3,12/07/2014,13/07/2014,27/06/2015,28/06/2015
Koflandé,7,12/07/2014,14/07/2014,25/07/2014,27/07/2014
Koflandé,7,12/07/2014,14/07/2014,24/07/2014,25/07/2014
Koflandé,7,12/07/2014,14/07/2014,25/07/2014,26/07/2014
Koflandé,9,11/07/2014,14/07/2014,26/07/2015,26/07/2015
Koflandé,9,12/07/2014,14/07/2014,26/07/2015,27/07/2015
Koflandé,9,12/07/2014,14/07/2014,27/07/2015,27/07/2015
Koflandé,9,12/07/2014,12/07/2014,27/07/2015,27/07/2015
Koflandé,37,12/07/2014,16/07/2014,24/08/2014,29/08/2014
Sokoura II,2,12/07/2014,15/07/2014,25/07/2014,26/07/2014
Sokoura II,2,13/07/2014,16/07/2014,25/07/2014,27/07/2014
Sokoura II,18,13/07/2014,16/07/2014,23//09/14,26/09/2014
Sokoura II,38,12/07/2014,16/07/2014,03/10/2015,04/10/2015
Sokoura II,38,13/07/2014,17/07/2014,04/10/2015,05/10/2015
