year,Tube,preservant,numfich,tube_id,date,month,village,method,position,compound_id,na1,na2,espece,stade,sexe,condit,initiale Nb of mosquitoes available ,Nb used for ELISA,num_elisa_corrected,available,sampled for Tristan,to_sample,parturit,Cluster,study
2015,"EPPENDORF 1,5ml",Silicagel,3,53,42201,07,SOBARA I,CDC,INT,205,NA,20H-06H,GA,ADULTE,F,AJ,9,,,9,1,1,NA,3,
2014,"EPPENDORF 1,5ml",Silicagel,24,821,41885,09,YABLE I,CDC,INT,309,,,An GA,ADULTE,F,AJ,14,5,5,9,1,1,NA,4,WP6
2015,"EPPENDORF 1,5ml",Silicagel,1,7,42186,07,YABLE I,CDC,INT,284,NA,20H-06H,GA,ADULTE,F,AJ,5,3,3,2,1,1,NA,4,
2014,"EPPENDORF 1,5ml",Silicagel,31,1168,41901,09,BOLOMAKOTE,CDC,INT,213,,,An GA,ADULTE,F,AJ,6,2,2,4,1,1,NP,9,WP6
2015,"EPPENDORF 1,5ml",Silicagel,4,76,42209,07,BAKARIDJAN II,CDC,INT,421,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,9,
2015,"EPPENDORF 1,5ml",Silicagel,3,75,42209,07,BAKARIDJAN II,CDC,INT,421,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,9,
2015,"EPPENDORF 1,5ml",Silicagel,3,74,42209,07,BAKARIDJAN II,CDC,INT,421,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,9,
2015,"EPPENDORF 1,5ml",Silicagel,3,73,42209,07,BAKARIDJAN II,CDC,INT,421,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,9,
2015,"EPPENDORF 1,5ml",Silicagel,3,72,42209,07,BAKARIDJAN II,CDC,INT,421,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,9,
2015,"EPPENDORF 1,5ml",Silicagel,3,71,42209,07,BAKARIDJAN II,CDC,INT,421,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,9,
2015,"EPPENDORF 1,5ml",Silicagel,3,70,42209,07,BAKARIDJAN II,CDC,INT,421,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,9,
2015,"EPPENDORF 1,5ml",Silicagel,3,69,42209,07,BAKARIDJAN II,CDC,INT,421,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,9,
2015,"EPPENDORF 1,5ml",Silicagel,3,68,42209,07,BAKARIDJAN II,CDC,INT,421,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,9,
2015,"EPPENDORF 1,5ml",Silicagel,3,66,42209,07,BAKARIDJAN I,CDC,INT,335,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,9,
2015,"EPPENDORF 1,5ml",Silicagel,2,42,42197,07,MOSSIBOUGOU,CDC,INT,297,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,10,
2015,"EPPENDORF 1,5ml",Silicagel,2,41,42197,07,MOSSIBOUGOU,CDC,INT,297,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,NP,10,
2015,"EPPENDORF 1,5ml",Silicagel,2,45,42197,07,NATIERA,CDC,INT,68,NA,20H-06H,GA,ADULTE,F,AJ,8,4,4,4,1,1,NA,10,
2015,"EPPENDORF 1,5ml",Silicagel,2,50,42199,07,SANHOUNOU,CDC,INT,235,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,12,
2015,"EPPENDORF 1,5ml",Silicagel,2,48,42199,07,SANHOUNOU,CDC,INT,235,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,NP,12,
2015,"EPPENDORF 1,5ml",Silicagel,1,17,42192,07,BOUSSANRA I,CDC,INT,4,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,NA,26,
2015,"EPPENDORF 1,5ml",Silicagel,1,18,42192,07,LOUBARA/GNIMINISSO,CDC,INT,61,NA,20H-06H,GA,ADULTE,F,AJ,2,1,1,1,1,1,NA,26,
2014,"EPPENDORF 1,5ml",Silicagel,13,280,41850,07,KANKOUNADENI,CDC,INT,13,,,An GA,ADULTE,F,AJ,2,1,1,1,1,1,NA,36,WP6
2014,"EPPENDORF 1,5ml",Silicagel,13,286,41850,07,KANKOUNADENI,CDC,INT,130,,,An GA,ADULTE,F,AJ,1,0,0,1,1,1,NA,36,WP6
2014,"EPPENDORF 1,5ml",Silicagel,32,1225,41905,09,KANKOUNADENI,CDC,INT,13,,,An GA,ADULTE,F,AJ,2,1,1,1,1,1,NP,36,WP6
2015,"EPPENDORF 1,5ml",Silicagel,4,80,42209,07,KOFLANDE,CDC,INT,17,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,37,
2015,"EPPENDORF 1,5ml",Silicagel,4,79,42209,07,KOFLANDE,CDC,INT,17,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,37,
2015,"EPPENDORF 1,5ml",Silicagel,2,39,42194,07,BOUNOUBA,CDC,INT,10,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,NP,39,
2015,"EPPENDORF 1,5ml",Silicagel,2,38,42194,07,BOUNOUBA,CDC,INT,10,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,39,
2015,"EPPENDORF 1,5ml",Silicagel,2,37,42194,07,BOUNOUBA,CDC,INT,10,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,39,
2015,"EPPENDORF 1,5ml",Silicagel,2,36,42194,07,BOUNOUBA,CDC,INT,10,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,39,
2015,"EPPENDORF 1,5ml",Silicagel,2,32,42194,07,BOUNOUBA,CDC,INT,3,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,39,
2015,"EPPENDORF 1,5ml",Silicagel,2,29,42194,07,BOUNOUBA,CDC,INT,3,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,39,
2015,"EPPENDORF 1,5ml",Silicagel,2,28,42194,07,BOUNOUBA,CDC,INT,3,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,39,
2015,"EPPENDORF 1,5ml",Silicagel,2,27,42194,07,BOUNOUBA,CDC,INT,3,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,39,
2015,"EPPENDORF 1,5ml",Silicagel,2,26,42194,07,BOUNOUBA,CDC,INT,3,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,39,
2015,"EPPENDORF 1,5ml",Silicagel,1,24,42194,07,BOUNOUBA,CDC,INT,3,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,39,
2015,"EPPENDORF 1,5ml",Silicagel,1,23,42194,07,BOUNOUBA,CDC,INT,3,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,39,
2015,"EPPENDORF 1,5ml",Silicagel,1,22,42194,07,BOUNOUBA,CDC,INT,3,NA,20H-06H,GA,ADULTE,F,AJ,1,,,1,1,1,P,39,
2015,"EPPENDORF 1,5ml",Silicagel,4,88,42258,09,DANDOUGOU,CDC,INT,38,NA,20H-06H,GA,ADULTE,F,AJ,3,1,1,2,2,2,NA,2,
2015,"EPPENDORF 1,5ml",Silicagel,5,104,42201,07,SOBARA III,CDC,INT,262,NA,20H-06H,GA,ADULTE,F,AJ,27,5,5,22,2,2,NA,3,
2015,"EPPENDORF 1,5ml",Silicagel,3,54,42201,07,SOBARA I,CDC,INT,211,NA,20H-06H,GA,ADULTE,F,AJ,3,1,1,2,2,2,NA,3,
2014,"EPPENDORF 1,5ml",Silicagel,24,818,41885,09,YABLE I,CDC,INT,284,,,An GA,ADULTE,F,AJ,3,1,1,2,2,2,NA,4,WP6
2015,"EPPENDORF 1,5ml",Silicagel,3,67,42209,07,BAKARIDJAN I,CDC,INT,335,NA,20H-06H,GA,ADULTE,F,AJ,2,,,2,2,2,NA,9,
2014,"EPPENDORF 1,5ml",Silicagel,23,785,41883,09,MOSSIBOUGOU,CDC,INT,297,,,An GA,ADULTE,F,AJ,10,3,3,7,2,2,NA,10,WP6
2015,"EPPENDORF 1,5ml",Silicagel,3,51,42199,07,TIEFORA II,CDC,INT,871,NA,20H-06H,GA,ADULTE,F,AJ,10,4,4,6,2,2,NA,11,
2015,"EPPENDORF 1,5ml",Silicagel,3,52,42199,07,SANHOUNOU,CDC,INT,236,NA,20H-06H,GA,ADULTE,F,AJ,3,1,1,2,2,2,NA,12,
2014,"EPPENDORF 1,5ml",Silicagel,18,501,41866,08,LOMBO,CDC,INT,140,,,An GA,ADULTE,F,AJ,3,1,1,2,2,2,NA,18,WP6
2015,"EPPENDORF 1,5ml",Silicagel,1,12,42186,07,BAMAKO,CDC,INT,16,NA,20H-06H,GA,ADULTE,F,AJ,7,5,5,2,2,2,NA,20,
2015,"EPPENDORF 1,5ml",Silicagel,1,16,42186,07,PRIFONA,CDC,INT,502,NA,20H-06H,GA,ADULTE,F,AJ,4,2,2,2,2,2,NA,20,
2015,"EPPENDORF 1,5ml",Silicagel,6,127,42256,09,BOUSSANRA I,CDC,INT,26,NA,20H-06H,GA,ADULTE,F,AJ,64,17,17,47,2,2,NA,26,
