Sum of TotalUnfedAG,Column Labels,,,,,,,,,,,,,,,,,,,,,,,
,2012,2012 Total,2014,,,,,,,,2014 Total,2015,,,,,,,,2015 Total,NA,NA Total,Grand Total,
Row Labels,DEC,,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,,(blank),,,
1,,,,50,135,39,315,,23,0,562,44,0,9,95,0,192,254,524,1118,,,1680,1
2,,,,18,0,22,271,163,4,2,480,0,0,2,3,19,205,48,9,286,,,766,2
3,,,,,21,1,189,205,3,0,419,1,0,2,98,46,168,784,95,1194,,,1613,3
4,,,,,20,16,122,124,0,5,287,0,0,2,32,12,147,316,6,515,,,802,4
5,,,,,5,0,172,259,0,0,436,,0,,38,37,,147,5,227,,,663,
6,,,,,12,2,73,677,23,11,798,0,0,,70,24,,438,66,598,,,1396,
7,,,,,8,3,209,360,0,0,580,0,0,0,33,12,116,465,11,637,,,1217,
8,,,,,8,10,484,340,6,0,848,0,0,1,8,48,120,312,38,527,,,1375,
9,,,,,116,181,599,,35,2,933,0,0,7,28,19,122,29,10,215,,,1148,9
10,,,,,149,63,301,,52,0,565,0,1,56,45,28,163,310,83,686,,,1251,10
11,,,,,48,108,234,428,38,1,857,0,0,8,52,11,88,238,41,438,,,1295,11
12,,,0,,89,38,164,267,14,4,576,1,1,15,36,19,90,334,42,538,,,1114,12
13,,,,,9,2,129,,7,0,147,0,0,5,4,110,200,289,7,615,,,762,
14,,,,,5,33,560,150,4,0,752,0,0,18,15,65,372,42,17,529,,,1281,
15,,,,,7,13,261,81,6,0,368,0,0,2,3,38,194,17,3,257,,,625,
16,,,,,4,8,273,155,6,1,447,0,1,2,8,108,137,30,0,286,,,733,
17,,,,,7,69,719,76,0,0,871,0,1,11,15,114,421,76,1,639,,,1510,
18,,,,,6,35,681,39,2,0,763,0,0,12,4,64,272,114,1,467,,,1230,18
19,,,,,13,7,165,,22,1,208,6,12,2,38,115,177,215,15,580,,,788,
20,,,,,44,23,329,407,19,1,823,0,0,26,54,13,363,355,,811,,,1634,20
21,,,,,0,6,350,149,0,1,506,0,0,0,4,29,169,327,5,534,,,1040,
22,,,,,8,10,412,,17,0,447,0,0,3,34,20,106,78,0,241,,,688,
23,0,0,,,4,19,859,22,2,0,906,0,0,2,4,4,,5,0,15,,,921,
24,,,,,11,57,162,131,15,0,376,13,121,6,13,9,,30,0,192,,,568,
25,,,,,2,26,242,159,0,4,433,8,1,4,10,50,,30,1,104,,,537,
26,,,,,36,16,177,214,16,0,459,0,0,8,24,10,202,136,23,403,,,862,26
27,,,,,,191,410,63,15,0,679,0,11,108,24,191,,58,6,398,,,1077,
28,,,,,15,19,144,52,2,1,233,0,0,0,3,75,196,209,18,501,,,734,
29,,,,,34,46,176,58,0,0,314,1,1,10,22,10,93,35,9,181,,,495,29
30,,,,,11,89,152,47,0,0,299,0,0,11,8,46,,33,1,99,,,398,
31,,,0,,11,53,392,151,0,1,608,0,1,9,9,58,221,159,204,661,,,1269,
32,,,,,9,79,41,35,2,0,166,6,13,124,34,193,356,51,11,788,,,954,
33,,,,,5,27,133,269,12,3,449,5,31,46,73,80,267,561,787,1850,,,2299,
34,,,,,12,10,6,26,2,0,56,0,0,124,40,71,51,123,23,432,,,488,
35,,,,,,226,272,69,1,3,571,0,0,9,5,226,,3,4,247,,,818,
36,,,,,58,116,184,20,3,0,381,0,1,18,23,26,144,27,25,264,,,645,36
37,,,,,4,41,382,,4,0,431,0,0,10,16,34,64,28,4,156,,,587,37
38,,,,,,143,123,81,12,1,360,,5,2,17,99,,0,0,123,,,483,
39,,,,,7,9,417,590,10,2,1035,0,4,3,70,82,192,200,11,562,,,1597,39
40,,,,,,36,99,12,2,0,149,,0,0,3,8,,5,,16,,,165,
NA,,,,,,,,,,,,,,,,,,,,,0,0,0,
Grand Total,0,0,0,68,933,1892,11383,5879,379,44,20578,85,205,677,1115,2223,5608,6911,2106,18930,0,0,39508,
