"","season","rollout","cluster","density","lat","lon"
"1","Y1.S1",0,1,52,10.58464519,-4.547445932
"2","Y1.S2",0,1,191,10.58464519,-4.547445932
"3","Y1.S3",1,1,332,10.58464519,-4.547445932
"4","Y1.S4",1,1,27,10.58464519,-4.547445932
"5","Y2.S1",1,1,12,10.58464519,-4.547445932
"6","Y2.S2",1,1,100,10.58464519,-4.547445932
"7","Y2.S3",1,1,510,10.58464519,-4.547445932
"8","Y2.S4",1,1,563,10.58464519,-4.547445932
"9","Y1.S1",0,2,20,10.10211398,-4.338196388
"10","Y1.S2",0,2,1,10.10211398,-4.338196388
"11","Y1.S2",1,2,25,10.10211398,-4.338196388
"12","Y1.S3",1,2,460,10.10211398,-4.338196388
"13","Y1.S4",1,2,8,10.10211398,-4.338196388
"14","Y2.S1",1,2,3,10.10211398,-4.338196388
"15","Y2.S2",1,2,25,10.10211398,-4.338196388
"16","Y2.S3",1,2,267,10.10211398,-4.338196388
"17","Y2.S4",1,2,9,10.10211398,-4.338196388
"18","Y1.S2",0,3,26,10.25882291,-4.415930423
"19","Y1.S3",0,3,428,10.25882291,-4.415930423
"20","Y1.S4",0,3,3,10.25882291,-4.415930423
"21","Y2.S1",0,3,2,10.25882291,-4.415930423
"22","Y2.S2",1,3,155,10.25882291,-4.415930423
"23","Y2.S3",1,3,996,10.25882291,-4.415930423
"24","Y2.S4",1,3,101,10.25882291,-4.415930423
"25","Y1.S2",0,4,24,10.31913092,-4.388691147
"26","Y1.S2",1,4,16,10.31913092,-4.388691147
"27","Y1.S3",1,4,266,10.31913092,-4.388691147
"28","Y1.S4",1,4,5,10.31913092,-4.388691147
"29","Y2.S1",1,4,2,10.31913092,-4.388691147
"30","Y2.S2",1,4,60,10.31913092,-4.388691147
"31","Y2.S3",1,4,536,10.31913092,-4.388691147
"32","Y2.S4",1,4,9,10.31913092,-4.388691147
"33","Y1.S2",0,5,6,10.22795507,-4.278537449
"34","Y1.S3",0,5,186,10.22795507,-4.278537449
"35","Y1.S3",1,5,268,10.22795507,-4.278537449
"36","Y1.S4",1,5,0,10.22795507,-4.278537449
"37","Y2.S1",1,5,0,10.22795507,-4.278537449
"38","Y2.S2",1,5,91,10.22795507,-4.278537449
"39","Y2.S3",1,5,153,10.22795507,-4.278537449
"40","Y2.S4",1,5,7,10.22795507,-4.278537449
"41","Y1.S2",0,6,15,10.26937141,-4.331229889
"42","Y1.S3",0,6,766,10.26937141,-4.331229889
"43","Y1.S4",0,6,37,10.26937141,-4.331229889
"44","Y2.S1",0,6,0,10.26937141,-4.331229889
"45","Y2.S2",1,6,128,10.26937141,-4.331229889
"46","Y2.S3",1,6,467,10.26937141,-4.331229889
"47","Y2.S4",1,6,76,10.26937141,-4.331229889
"48","Y1.S2",0,7,10,10.15261268,-4.389537068
"49","Y1.S2",1,7,3,10.15261268,-4.389537068
"50","Y1.S3",1,7,589,10.15261268,-4.389537068
"51","Y1.S4",1,7,1,10.15261268,-4.389537068
"52","Y2.S1",1,7,0,10.15261268,-4.389537068
"53","Y2.S2",1,7,52,10.15261268,-4.389537068
"54","Y2.S3",1,7,612,10.15261268,-4.389537068
"55","Y2.S4",1,7,12,10.15261268,-4.389537068
"56","Y1.S2",0,8,18,10.19136496,-4.339622765
"57","Y1.S3",0,8,858,10.19136496,-4.339622765
"58","Y1.S4",0,8,6,10.19136496,-4.339622765
"59","Y2.S1",0,8,5,10.19136496,-4.339622765
"60","Y2.S2",0,8,67,10.19136496,-4.339622765
"61","Y2.S3",1,8,444,10.19136496,-4.339622765
"62","Y2.S4",1,8,40,10.19136496,-4.339622765
"63","Y1.S2",0,9,314,10.20377696,-4.394054953
"64","Y1.S3",0,9,611,10.20377696,-4.394054953
"65","Y1.S4",0,9,49,10.20377696,-4.394054953
"66","Y2.S1",0,9,9,10.20377696,-4.394054953
"67","Y2.S2",1,9,49,10.20377696,-4.394054953
"68","Y2.S3",1,9,185,10.20377696,-4.394054953
"69","Y2.S4",1,9,11,10.20377696,-4.394054953
"70","Y1.S2",0,10,238,10.69725894,-4.444949426
"71","Y1.S3",0,10,129,10.69725894,-4.444949426
"72","Y1.S3",1,10,186,10.69725894,-4.444949426
"73","Y1.S4",1,10,61,10.69725894,-4.444949426
"74","Y2.S1",1,10,80,10.69725894,-4.444949426
"75","Y2.S2",1,10,88,10.69725894,-4.444949426
"76","Y2.S3",1,10,511,10.69725894,-4.444949426
"77","Y2.S4",1,10,91,10.69725894,-4.444949426
"78","Y1.S2",0,11,169,10.66014541,-4.516361271
"79","Y1.S3",0,11,713,10.66014541,-4.516361271
"80","Y1.S4",0,11,42,10.66014541,-4.516361271
"81","Y2.S1",0,11,9,10.66014541,-4.516361271
"82","Y2.S2",0,11,85,10.66014541,-4.516361271
"83","Y2.S3",1,11,400,10.66014541,-4.516361271
"84","Y2.S4",1,11,46,10.66014541,-4.516361271
"85","Y1.S1",0,12,0,10.6742614,-4.593493799
"86","Y1.S2",0,12,93,10.6742614,-4.593493799
"87","Y1.S2",1,12,38,10.6742614,-4.593493799
"88","Y1.S3",1,12,442,10.6742614,-4.593493799
"89","Y1.S4",1,12,20,10.6742614,-4.593493799
"90","Y2.S1",1,12,19,10.6742614,-4.593493799
"91","Y2.S2",1,12,67,10.6742614,-4.593493799
"92","Y2.S3",1,12,429,10.6742614,-4.593493799
"93","Y2.S4",1,12,45,10.6742614,-4.593493799
"94","Y1.S2",0,13,14,10.44158365,-4.676205424
"95","Y1.S3",0,13,159,10.44158365,-4.676205424
"96","Y1.S4",0,13,7,10.44158365,-4.676205424
"97","Y2.S1",0,13,6,10.44158365,-4.676205424
"98","Y2.S2",1,13,140,10.44158365,-4.676205424
"99","Y2.S3",1,13,517,10.44158365,-4.676205424
"100","Y2.S4",1,13,8,10.44158365,-4.676205424
"101","Y1.S2",0,14,42,10.54804767,-4.408613211
"102","Y1.S3",0,14,761,10.54804767,-4.408613211
"103","Y1.S4",0,14,6,10.54804767,-4.408613211
"104","Y2.S1",0,14,23,10.54804767,-4.408613211
"105","Y2.S2",0,14,99,10.54804767,-4.408613211
"106","Y2.S3",0,14,404,10.54804767,-4.408613211
"107","Y2.S3",1,14,46,10.54804767,-4.408613211
"108","Y2.S4",1,14,20,10.54804767,-4.408613211
"109","Y1.S2",1,15,26,10.65602105,-4.378845283
"110","Y1.S3",1,15,370,10.65602105,-4.378845283
"111","Y1.S4",1,15,8,10.65602105,-4.378845283
"112","Y2.S1",1,15,3,10.65602105,-4.378845283
"113","Y2.S2",1,15,43,10.65602105,-4.378845283
"114","Y2.S3",1,15,239,10.65602105,-4.378845283
"115","Y2.S4",1,15,4,10.65602105,-4.378845283
