SheetID,Date,Year,Month,Cluster,UnfedAg,Selection,to_subset,Sample Found
JUN14-005,30/06/2014,2014,JUN,1,13,13,0,0
JUN14-006,30/06/2014,2014,JUN,1,12,12,0,0
JUN14-002,30/06/2014,2014,JUN,2,1,1,0,0
JUN14-009,30/06/2014,2014,JUN,2,17,17,0,0
JUN15-038,12/06/2015,2015,JUN,18,3,3,0,2
JUN15-041,12/06/2015,2015,JUN,18,8,8,0,5
JUN15-043,12/06/2015,2015,JUN,18,1,1,0,0
JUL14-202,01/07/2014,2014,JUL,3,3,3,0,0
JUL14-196,01/07/2014,2014,JUL,4,2,2,0,0
JUL14-192,02/07/2014,2014,JUL,3,1,1,0,0
JUL15-121,01/07/2015,2015,JUL,4,9,9,0,5
JUL15-125,01/07/2015,2015,JUL,4,11,11,0,11
JUL14-193,02/07/2014,2014,JUL,3,6,6,0,0
JUL14-165,07/07/2014,2014,JUL,1,35,20,1,0
JUL14-157,07/07/2014,2014,JUL,10,26,26,0,0
JUL14-133,09/07/2014,2014,JUL,4,1,1,0,0
JUL14-136,09/07/2014,2014,JUL,4,17,17,0,0
JUL14-139,09/07/2014,2014,JUL,20,26,26,0,0
JUL14-116,11/07/2014,2014,JUL,3,1,1,0,0
JUL15-115,01/07/2015,2015,JUL,20,26,26,0,26
JUL15-098,07/07/2015,2015,JUL,26,1,1,0,1
JUL15-100,07/07/2015,2015,JUL,26,19,19,0,11
JUL15-101,07/07/2015,2015,JUL,26,2,2,0,1
JUL14-118,11/07/2014,2014,JUL,3,4,4,0,0
JUL14-119,11/07/2014,2014,JUL,3,6,6,0,0
JUL14-105,14/07/2014,2014,JUL,11,20,20,0,0
JUL14-098,14/07/2014,2014,JUL,12,18,18,0,0
JUL14-099,14/07/2014,2014,JUL,12,5,5,0,0
JUL15-109,07/07/2015,2015,JUL,36,7,7,0,7
JUL15-111,07/07/2015,2015,JUL,36,11,11,0,4
JUL15-114,07/07/2015,2015,JUL,36,4,4,0,2
JUL14-095,15/07/2014,2014,JUL,26,29,29,0,0
JUL14-065,17/07/2014,2014,JUL,39,3,3,0,2
JUL15-082,09/07/2015,2015,JUL,39,27,27,0,27
JUL15-061,10/07/2015,2015,JUL,18,2,2,0,0
JUL15-062,10/07/2015,2015,JUL,18,1,1,0,1
JUL14-066,17/07/2014,2014,JUL,39,1,1,0,0
JUL14-067,17/07/2014,2014,JUL,39,3,3,0,2
JUL14-012,23/07/2014,2014,JUL,29,17,17,0,11
JUL15-066,10/07/2015,2015,JUL,18,1,1,0,0
JUL15-052,12/07/2015,2015,JUL,1,3,3,0,3
JUL15-053,12/07/2015,2015,JUL,1,19,19,0,15
JUL14-013,23/07/2014,2014,JUL,29,6,6,0,6
JUL14-243,25/07/2014,2014,JUL,9,98,20,1,20
JUL15-059,12/07/2015,2015,JUL,10,12,12,0,12
JUL15-060,12/07/2015,2015,JUL,10,9,9,0,9
JUL14-224,30/07/2014,2014,JUL,36,24,24,0,21
AUG14-133,14/08/2014,2014,AUG,39,3,3,0,3
AUG14-135,14/08/2014,2014,AUG,39,1,1,0,0
JUL15-033,14/07/2015,2015,JUL,11,23,23,0,23
JUL15-025,14/07/2015,2015,JUL,12,24,24,0,17
AUG14-136,14/08/2014,2014,AUG,39,2,2,0,0
AUG14-137,14/08/2014,2014,AUG,39,1,1,0,0
AUG14-138,14/08/2014,2014,AUG,39,2,2,0,0
