Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
A10_10_EKDN220028752-1A_H5JF5DSX5_L3.srt.dp_stats	100050503.0	32321675.0	40569003.0	31139198.0	28926053.0	20590129.0	16312058.0	10990846.0	7933546.0	5157126.0	3540706.0	2278177.0	1536806.0	999478.0	685465.0	464690.0	337530.0	247398.0	189694.0	148686.0	121515.0	98698.0	83844.0	72898.0	61084.0	54724.0	45977.0	42279.0	38172.0	34557.0	30063.0	27437.0	24236.0	23521.0	21675.0	19988.0	18724.0	16966.0	16506.0	15350.0	14471.0	13305.0	12774.0	12150.0	11736.0	11316.0	10412.0	10483.0	9518.0	9525.0	9112.0	8738.0	8165.0	7990.0	7436.0
A10_11_EKDN220028814-1A_H5J72DSX5_L1.srt.dp_stats	91055452.0	31615135.0	37117466.0	32788205.0	29410385.0	22993522.0	17920322.0	12902762.0	9243715.0	6301087.0	4292183.0	2844014.0	1897808.0	1264603.0	868189.0	592938.0	423919.0	313108.0	233530.0	184400.0	146102.0	120172.0	101789.0	85869.0	76120.0	65378.0	57114.0	51376.0	44728.0	40171.0	36197.0	31968.0	29105.0	26501.0	24654.0	22401.0	20999.0	18903.0	18006.0	16788.0	15403.0	14599.0	13872.0	13246.0	12250.0	11697.0	11303.0	10309.0	10265.0	9625.0	8748.0	8722.0	8477.0	8271.0	8017.0
A10_1_EKDN220028127-1A_H5GV5DSX5_L1.srt.dp_stats	95929834.0	38413128.0	42622064.0	35791286.0	29267134.0	21077661.0	14802874.0	9698127.0	6260876.0	3905370.0	2414802.0	1494769.0	955459.0	627610.0	425052.0	301438.0	225812.0	175230.0	141523.0	112067.0	94394.0	80210.0	69587.0	60138.0	51314.0	45617.0	40193.0	34451.0	31345.0	28377.0	24959.0	22785.0	20882.0	19422.0	18105.0	16417.0	15526.0	14808.0	13572.0	12974.0	11893.0	11180.0	10410.0	9596.0	9500.0	8809.0	8887.0	8182.0	8011.0	7784.0	7256.0	7049.0	6392.0	6434.0	6490.0
A10_2_EKDN220028207-1A_H57WKDSX5_L2.srt.dp_stats	103400275.0	38275911.0	41878219.0	32430796.0	27318911.0	19154065.0	14173528.0	9402273.0	6439522.0	4151251.0	2745316.0	1760666.0	1157880.0	753945.0	515961.0	355633.0	259228.0	192304.0	152914.0	119998.0	97062.0	80816.0	69272.0	59497.0	51204.0	44723.0	38328.0	34593.0	31653.0	27075.0	24573.0	21787.0	20841.0	19313.0	17370.0	16060.0	15445.0	14336.0	13781.0	13102.0	11969.0	11468.0	10947.0	10507.0	9902.0	9784.0	9283.0	8725.0	8260.0	7977.0	7842.0	7330.0	7441.0	6823.0	6589.0
A10_3_EKDN220028263-1A_H3NGLDSX5_L2.srt.dp_stats	104495250.0	32991682.0	41458946.0	30007890.0	28054521.0	19299095.0	15472227.0	10209629.0	7494044.0	4815800.0	3383983.0	2160806.0	1485323.0	972688.0	672693.0	466202.0	340631.0	250031.0	193125.0	152218.0	122632.0	100586.0	85849.0	72196.0	64075.0	55770.0	50070.0	42868.0	39494.0	35245.0	30961.0	28084.0	25541.0	23356.0	21134.0	20126.0	18390.0	16770.0	15833.0	14208.0	13530.0	12477.0	12257.0	11573.0	11214.0	10688.0	10097.0	10103.0	9859.0	8947.0	8477.0	8193.0	8110.0	7568.0	7400.0
A10_4_EKDN220028334-1A_H3V53DSX5_L2.srt.dp_stats	70943858.0	13838153.0	18361100.0	18711742.0	21325112.0	21038815.0	21074031.0	19394819.0	17813471.0	15456214.0	13305516.0	11062128.0	9083457.0	7249055.0	5736155.0	4472132.0	3460334.0	2643901.0	2037450.0	1550555.0	1183057.0	907258.0	694206.0	543424.0	429473.0	347378.0	283461.0	233112.0	197853.0	169090.0	147542.0	129159.0	114807.0	103474.0	93424.0	83745.0	77225.0	70438.0	64575.0	59691.0	56184.0	53362.0	48046.0	45281.0	41349.0	38097.0	35437.0	33347.0	31381.0	29735.0	28440.0	26582.0	25110.0	23668.0	22709.0
A10_5_EKDN220028405-1A_H5J72DSX5_L1.srt.dp_stats	95594631.0	29461184.0	37316639.0	29968254.0	28720257.0	21553386.0	17837979.0	12699694.0	9636607.0	6598404.0	4752261.0	3207149.0	2229420.0	1499018.0	1054956.0	721046.0	514467.0	370700.0	277612.0	213054.0	169703.0	136564.0	111101.0	93777.0	79858.0	68002.0	58131.0	50750.0	45368.0	40501.0	36268.0	32932.0	30202.0	26393.0	23456.0	21400.0	19827.0	18984.0	17735.0	16557.0	15463.0	14382.0	13626.0	12673.0	12518.0	11008.0	10679.0	10018.0	9380.0	9221.0	8796.0	8706.0	8128.0	7464.0	7327.0
A10_7_EKDN220028549-1A_H3NGLDSX5_L2.srt.dp_stats	91034961.0	32109296.0	37179409.0	33070775.0	29518620.0	23154458.0	17860937.0	12850241.0	9129725.0	6194312.0	4200800.0	2776534.0	1838465.0	1211123.0	811416.0	552708.0	385101.0	279105.0	206753.0	159692.0	124787.0	102945.0	84425.0	72336.0	63436.0	53951.0	46649.0	41079.0	37213.0	32112.0	29605.0	26536.0	24138.0	22019.0	20420.0	19016.0	17243.0	15525.0	14697.0	14006.0	13001.0	12298.0	11340.0	10573.0	10114.0	9341.0	8907.0	8464.0	8627.0	7934.0	7664.0	6953.0	6953.0	6667.0	6440.0
A10_8_EKDN220028612-1A_H5J72DSX5_L2.srt.dp_stats	90844368.0	36023980.0	39903658.0	35817918.0	30074615.0	22871874.0	16604932.0	11375452.0	7545309.0	4855677.0	3086542.0	1952118.0	1242539.0	800497.0	539231.0	366493.0	262295.0	197468.0	151101.0	122244.0	100341.0	83596.0	72753.0	62871.0	55444.0	47487.0	41546.0	35385.0	32980.0	29096.0	27309.0	24022.0	21753.0	19576.0	17778.0	16630.0	15588.0	14801.0	13241.0	12648.0	11824.0	11105.0	10336.0	9972.0	8996.0	8751.0	8173.0	7735.0	7397.0	7332.0	6965.0	6507.0	6600.0	6331.0	5607.0
A10_9_EKDN220028684-1A_H3V53DSX5_L2.srt.dp_stats	64686642.0	7630437.0	9853810.0	10779720.0	13283614.0	14854980.0	16550481.0	17350209.0	17796409.0	17473557.0	16674691.0	15356143.0	13818316.0	12133580.0	10408862.0	8799653.0	7277465.0	5918891.0	4756684.0	3790295.0	2987463.0	2339259.0	1828629.0	1427056.0	1111760.0	877205.0	691370.0	554726.0	447514.0	366177.0	304712.0	260973.0	223281.0	193789.0	172020.0	154216.0	141079.0	126612.0	115215.0	105499.0	96937.0	90724.0	83318.0	77197.0	73280.0	68344.0	62780.0	59054.0	55708.0	52140.0	49121.0	46179.0	44169.0	41681.0	39868.0
A11_11_EKDN220028815-1A_H5J72DSX5_L1.srt.dp_stats	92748727.0	32891498.0	38433690.0	32655446.0	29122598.0	22302414.0	17235164.0	12230753.0	8696037.0	5859227.0	3996378.0	2644609.0	1774307.0	1187748.0	816958.0	562379.0	403655.0	295446.0	226702.0	179221.0	145250.0	119113.0	100949.0	85726.0	75239.0	67924.0	58605.0	52854.0	46190.0	41802.0	35930.0	32013.0	29332.0	26967.0	24573.0	22758.0	20749.0	19504.0	18014.0	16274.0	15150.0	13864.0	13332.0	12435.0	11619.0	10839.0	10570.0	9129.0	9355.0	8555.0	8719.0	8173.0	8277.0	7738.0	7711.0
A11_12_EKDN220028870-1A_H5J72DSX5_L1.srt.dp_stats	74702813.0	20504113.0	25805225.0	28038655.0	28714968.0	26703352.0	23490952.0	19453371.0	15440472.0	11771714.0	8705406.0	6261789.0	4438577.0	3088387.0	2121510.0	1478297.0	1023972.0	718280.0	518358.0	385596.0	289924.0	229209.0	181004.0	151023.0	127166.0	110411.0	95046.0	83733.0	72994.0	65307.0	59135.0	52673.0	48249.0	43576.0	38485.0	36014.0	32330.0	29172.0	27995.0	25790.0	23589.0	21590.0	19682.0	18956.0	17836.0	16299.0	15155.0	14027.0	12796.0	12246.0	11392.0	10862.0	10396.0	9612.0	9141.0
A11_1_EKDN220028128-1A_H5GV5DSX5_L1.srt.dp_stats	85377843.0	31790166.0	37275376.0	35494278.0	31480977.0	25125212.0	18913305.0	13351940.0	9055527.0	5967214.0	3852500.0	2432817.0	1535527.0	984877.0	642061.0	434518.0	307178.0	230879.0	176879.0	141170.0	114284.0	96699.0	82471.0	70599.0	62147.0	54300.0	47123.0	41786.0	36590.0	33070.0	29214.0	25654.0	23000.0	21339.0	19737.0	17674.0	16230.0	15125.0	14041.0	12634.0	11610.0	10664.0	10535.0	9890.0	9084.0	8961.0	8523.0	7976.0	7680.0	7288.0	6904.0	6634.0	6245.0	6344.0	5950.0
A11_2_EKDN220028208-1A_H57WKDSX5_L2.srt.dp_stats	93986906.0	37951018.0	41167067.0	35600761.0	29297045.0	21670793.0	15439305.0	10404426.0	6850732.0	4376465.0	2783533.0	1747630.0	1130881.0	736521.0	502993.0	344717.0	253020.0	189858.0	145793.0	118268.0	99365.0	82465.0	70430.0	58932.0	50907.0	44892.0	40204.0	34972.0	31167.0	27666.0	25044.0	23723.0	21174.0	19054.0	17137.0	15041.0	14526.0	13062.0	12343.0	12063.0	11231.0	10430.0	9667.0	9182.0	8265.0	7890.0	7485.0	7232.0	7073.0	6740.0	6520.0	5938.0	5948.0	5762.0	5507.0
A11_3_EKDN220028264-1A_H3NGLDSX5_L2.srt.dp_stats	103546962.0	33409350.0	41142738.0	30018084.0	28048440.0	19422899.0	15641317.0	10362540.0	7661969.0	4951732.0	3479634.0	2228934.0	1527783.0	1004851.0	692484.0	472074.0	339949.0	247327.0	187119.0	146397.0	118434.0	97913.0	81294.0	67350.0	58637.0	51127.0	46144.0	41342.0	36364.0	33304.0	29956.0	27204.0	24495.0	22556.0	20895.0	18743.0	17204.0	15996.0	14130.0	13637.0	12417.0	11745.0	10982.0	10615.0	9998.0	9867.0	9602.0	9117.0	8271.0	8562.0	7560.0	7032.0	6618.0	6441.0	6202.0
A11_4_EKDN220028335-1A_H3V53DSX5_L2.srt.dp_stats	99764647.0	27346145.0	38537833.0	27247464.0	28699546.0	19937050.0	17901682.0	12109114.0	9872058.0	6573990.0	5020086.0	3319851.0	2443653.0	1621471.0	1175872.0	800743.0	584328.0	423003.0	316048.0	241941.0	191072.0	152801.0	126565.0	107177.0	89763.0	78683.0	69108.0	60725.0	53226.0	48968.0	41794.0	39015.0	34848.0	31816.0	28869.0	27250.0	24299.0	22434.0	20297.0	19228.0	18734.0	17431.0	15827.0	15292.0	14597.0	13761.0	12968.0	12088.0	11810.0	10895.0	10543.0	10174.0	9133.0	9353.0	9055.0
A11_5_EKDN220028406-1A_H5J72DSX5_L1.srt.dp_stats	89048760.0	31051297.0	36353025.0	32970510.0	29690736.0	23646827.0	18463671.0	13393994.0	9627619.0	6607526.0	4491201.0	2981505.0	1999655.0	1332221.0	899122.0	617108.0	434444.0	314704.0	238257.0	182494.0	145474.0	118855.0	100157.0	83575.0	70296.0	61784.0	52100.0	45921.0	40816.0	35928.0	32245.0	29366.0	26720.0	23536.0	21518.0	19751.0	18733.0	17605.0	16004.0	14815.0	14248.0	12793.0	12064.0	11489.0	10407.0	9878.0	8748.0	8959.0	8821.0	8476.0	8024.0	7744.0	7490.0	6982.0	6701.0
