Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
A10_10_EKDN220028752-1A_H5JF5DSX5_L3.srt.dp_stats	8.235231142350087e-06	7.205827249556325e-06	9.26463503514385e-06	1.4411654499112654e-05	1.5441058391906412e-05	1.4411654499112654e-05	2.3676289534256503e-05	2.8823308998225304e-05	3.499973235498787e-05	4.941138685410053e-05	3.1911520676606594e-05	3.294092456940035e-05	1.85292700702877e-05	1.441165449911265e-05	2.161748174866898e-05	3.70585401405754e-05	4.4264367390131726e-05	5.867602188924437e-05	9.573456202981977e-05	0.00016161641116862048	0.00027690964716152173	0.00048484923350586144	0.0007957292091295772	0.0012846960582066137	0.0022574827368967176	0.002848360571360337	0.0043286433691977644	0.0056071630040476165	0.0077112645609180635	0.009764925327041617	0.012030643295080688	0.014765769438233708	0.01770883516773107	0.022303064741269626	0.028475370482461015	0.033642978024285695	0.03708839285346642	0.036134135444846595	0.035934431089644614	0.03739206700184057	0.04192350293791871	0.04643126258446259	0.04685022996882965	0.04665670203698442	0.047185815637880414	0.04797536842365323	0.0478641928032315	0.04743904899550768	0.045039508521405425	0.042457763558278676	0.04208717815687291	0.03089035201495518	0.030035946783936358	0.02526568914473007	0.020761017709864573	0.01613281780786382	0.012799608002997625	0.010465949378034167	0.008356700801699752	0.006911417736217311	0.0055896631378701215	0.004459377663582572	0.003678060108952108	0.0029523303645325066	0.0022204241967561426	0.0016182229194717922	0.001321754598347189	0.0009470515813702602	0.0007030828587781387	0.0004488200972580798	0.00028926249387504685	0.0002398511070209463	0.00018529270070287695	7.720529195953206e-05	4.632317517571925e-05	3.499973235498787e-05	2.058807785587522e-05	9.26463503514385e-06	2.058807785587522e-06	4.117615571175044e-06	0.0	1.029403892793761e-06	1.029403892793761e-06	3.0882116783812827e-06	0.0	0.0	0.0	0.0	1.029403892793761e-06	3.0882116783812827e-06	1.029403892793761e-06	1.029403892793761e-06	1.029403892793761e-06	3.0882116783812827e-06	0.0	4.117615571175044e-06	4.117615571175044e-06	6.176423356762565e-06	1.132344282073137e-05	2.2646885641462744e-05
A10_11_EKDN220028814-1A_H5J72DSX5_L1.srt.dp_stats	6.639514215199935e-06	9.48502030742848e-06	9.485020307428478e-06	1.6124534522628413e-05	2.3712550768571198e-05	1.9918542645599806e-05	2.6558056860799742e-05	3.794008122971391e-05	3.2249069045256826e-05	3.4146073106742524e-05	2.9403562953028282e-05	2.3712550768571195e-05	2.560955483005689e-05	2.5609554830056893e-05	4.55280974756567e-05	6.924064824422789e-05	6.639514215199934e-05	0.00011002623556617035	0.00015745133710331273	0.00026273506251576887	0.0004135468854038816	0.0006810244580733648	0.001171400007967417	0.0016997156390911833	0.0029925239069936854	0.0035179940320252223	0.005267031776715034	0.0070179665254663315	0.008963344190519912	0.011323217243008117	0.013520896448239294	0.01647358326994178	0.019320986366231814	0.023796018947276565	0.029128497364112854	0.03384919197112001	0.03606773822102754	0.035776548097589476	0.03563047878485508	0.037741844305288666	0.0414704057881388	0.04413379949046471	0.045529994479718186	0.04577565650568058	0.04678391416436023	0.04785477295706891	0.04728946574674616	0.04690152841617233	0.04505574346434676	0.04169520076942485	0.04131105744697399	0.030454503203091364	0.029294485219492856	0.02443815482208947	0.019925182159815	0.01595664966318693	0.01246711069208399	0.010065503550243101	0.007979747584639579	0.006614853162400621	0.0052736712909302345	0.004294817195203615	0.0034942814812566514	0.0027601409094616873	0.002139820581355865	0.0016171959624165554	0.0011628634896907314	0.000860291341883763	0.0006440328788743937	0.0004438989503876527	0.0002817051031306258	0.00023143449550125486	0.00013942979851919862	7.208615433645643e-05	5.5013117783085175e-05	2.3712550768571198e-05	1.2330526399657022e-05	9.48502030742848e-06	3.7940081229713914e-06	9.485020307428479e-07	9.485020307428479e-07	9.485020307428479e-07	0.0	2.8455060922285437e-06	9.485020307428479e-07	9.485020307428479e-07	1.8970040614856957e-06	0.0	9.485020307428479e-07	0.0	9.485020307428479e-07	9.485020307428479e-07	9.485020307428479e-07	2.8455060922285437e-06	3.7940081229713914e-06	5.691012184457087e-06	4.742510153714239e-06	1.0433522338171326e-05	2.5609554830056896e-05	3.0352064983771135e-05
A10_1_EKDN220028127-1A_H5GV5DSX5_L1.srt.dp_stats	6.675671405651624e-06	1.3351342811303246e-05	1.8914402316012934e-05	8.900895207535497e-06	1.0013507108477435e-05	1.3351342811303246e-05	1.7801790415070995e-05	3.1153133226374246e-05	7.009454975934204e-05	9.56846234810066e-05	9.56846234810066e-05	9.679723538194854e-05	7.677022116499367e-05	8.455850447158724e-05	6.675671405651624e-05	7.009454975934205e-05	9.790984728289047e-05	0.00010681074249042598	0.00017690529224976802	0.00024032417060345846	0.00043948170087206517	0.00063752661923973	0.0010592065296967242	0.0015977106897526218	0.0027681784095435398	0.0032688537649674114	0.005007866166139659	0.006674558793750682	0.008598264770479291	0.0110048443122167	0.013645072353151919	0.016472219193445378	0.019267100288611526	0.023627426328402982	0.029983778118484267	0.034772459740138366	0.037586255237620526	0.036636084674216106	0.03639464789171171	0.03800904775997846	0.04127456368924305	0.04483380916035631	0.04578731755946354	0.046215673141326186	0.04677976737510375	0.04767987040296578	0.047396154368225585	0.04653610536879747	0.04438097611667294	0.04115328899204038	0.0416951309877991	0.03001048080410687	0.029125954342858033	0.024276079066652127	0.019391712821517026	0.01508812998867361	0.01190605995197967	0.009806561294902235	0.007729314875843637	0.006458712084967945	0.0055107667453654155	0.004288006266230227	0.003505840099868044	0.0028582999735198367	0.002020503212110558	0.0016166250920686348	0.001152665929375847	0.0008589363875271757	0.0006264005002303107	0.0004016528962400394	0.00025701334911758754	0.00016021611373563896	0.00015354044232998733	7.454499736310978e-05	2.8927909424490368e-05	2.5590073721664553e-05	1.4463954712245186e-05	4.450447603767749e-06	3.3378357028258116e-06	1.1126119009419372e-06	1.1126119009419372e-06	1.1126119009419372e-06	0.0	1.1126119009419372e-06	0.0	0.0	2.2252238018838744e-06	0.0	1.1126119009419372e-06	0.0	0.0	1.1126119009419372e-06	1.1126119009419372e-06	2.2252238018838744e-06	3.3378357028258116e-06	6.675671405651624e-06	2.2252238018838744e-06	1.0013507108477435e-05	1.1126119009419373e-05	1.7801790415071e-05
A10_2_EKDN220028207-1A_H57WKDSX5_L2.srt.dp_stats	2.254257729286189e-06	6.762773187858568e-06	6.762773187858567e-06	6.762773187858567e-06	1.5779804105003322e-05	1.4652675240360228e-05	1.803406183428951e-05	3.6068123668579034e-05	3.944951026250831e-05	3.494099480393593e-05	3.381386593929284e-05	2.0288319563575705e-05	2.254257729286189e-05	1.690693296964642e-05	1.8034061834289513e-05	2.9305350480720456e-05	3.494099480393594e-05	4.5085154585723785e-05	6.650060301394259e-05	0.0001442724946743161	0.00024458696362755154	0.0005060808602247495	0.0006841672208383584	0.0013390290911959965	0.002242986440639758	0.0027411773988120064	0.004065553814767642	0.005570270849066175	0.007729849753722344	0.009728249230734549	0.012011812310501458	0.01475186258044882	0.01786724676232234	0.02248622084962974	0.028067762987342343	0.03389727347527643	0.036455855998016255	0.03618985358596048	0.036334126080634806	0.03790534371794727	0.04106694018327115	0.044824787817991235	0.04586287350232752	0.04652900666133159	0.04744423529942178	0.04809458865432085	0.04825689521082945	0.04710046099570563	0.04598122203311504	0.04238568095490358	0.04221323023861318	0.031019713483842606	0.030184510995142074	0.025385196289491773	0.020798908939259026	0.016624023624621002	0.01295521917020773	0.010418052095896123	0.008384711624079982	0.007082877785417207	0.005676220962342625	0.004608829927525614	0.0038029327893058015	0.003184139042616742	0.002336538136405135	0.0017560667711139415	0.0013491732509777843	0.0009862377565627077	0.0007179810867776514	0.0005365133395701131	0.0003122146955061373	0.00022993428838719127	0.0001995018090418277	7.213624733715807e-05	5.297505663822545e-05	3.268673707464975e-05	1.690693296964642e-05	9.017030917144757e-06	2.254257729286189e-06	3.3813865939292836e-06	1.1271288646430946e-06	2.254257729286189e-06	2.254257729286189e-06	0.0	2.254257729286189e-06	2.254257729286189e-06	0.0	1.1271288646430946e-06	2.254257729286189e-06	1.1271288646430946e-06	0.0	0.0	1.1271288646430946e-06	3.3813865939292836e-06	0.0	2.254257729286189e-06	4.508515458572378e-06	7.889902052501663e-06	1.4652675240360232e-05	2.02883195635757e-05
A10_3_EKDN220028263-1A_H3NGLDSX5_L2.srt.dp_stats	6.152470524539128e-06	1.1279529294988404e-05	2.3584470344066662e-05	1.743199981952753e-05	1.1279529294988401e-05	1.3330352803168112e-05	2.8711529114515934e-05	4.819435244222318e-05	4.511811717995361e-05	3.6914823147234774e-05	2.973694086860579e-05	2.5635293852246373e-05	3.17877643767855e-05	2.7686117360426077e-05	4.921976419631303e-05	6.152470524539129e-05	8.305835208127823e-05	9.228705786808693e-05	0.00016304046890028694	0.0002748103500960811	0.0004265712897013796	0.00077726210960011	0.0010961651651220548	0.0016991072765268891	0.0029767703221228485	0.003679177373674399	0.005327014062496796	0.00678309875330439	0.008934412613384905	0.011244665295349347	0.013794864327770816	0.016506053005584394	0.019668422855197504	0.024388393159273103	0.030838233092498293	0.03653234456295926	0.039300956299001856	0.03800996290060274	0.037448037259361494	0.038529846659926294	0.043409781197639906	0.0469894936311676	0.04604714022915902	0.04607892799353581	0.04720483009952647	0.047288913863361835	0.04679979245666097	0.04584821034886559	0.044155255542863245	0.040407375581664816	0.039471174650180775	0.02909298228703736	0.02775071830093374	0.02301126517353043	0.01866454474794354	0.014412162203732908	0.011189293060628495	0.009060538259137958	0.007281448865792059	0.00600686205545837	0.004792774538615981	0.003886310548000549	0.0030331679685977908	0.002571732679257356	0.0017780639815918081	0.0012981712806777563	0.0010028526954998778	0.0007444489334692345	0.0005424428179135332	0.0003414621141119217	0.0002266159976538579	0.00017329458644118546	0.00013330352803168113	4.6143528934043464e-05	3.8965646655414475e-05	1.2304941049078258e-05	4.101647016359419e-06	5.127058770449274e-06	4.101647016359419e-06	3.0762352622695645e-06	2.0508235081797095e-06	2.0508235081797095e-06	1.0254117540898548e-06	1.0254117540898548e-06	0.0	2.0508235081797095e-06	1.0254117540898548e-06	1.0254117540898548e-06	1.0254117540898548e-06	0.0	0.0	2.0508235081797095e-06	0.0	5.127058770449274e-06	5.127058770449274e-06	7.177882278628983e-06	1.2304941049078258e-05	1.845741157361739e-05	3.281317613087535e-05	5.434682296676231e-05
A10_4_EKDN220028334-1A_H3V53DSX5_L2.srt.dp_stats	1.48557580175288e-05	2.1788445092375576e-05	2.0798061224540323e-05	1.2379798347940668e-05	1.782690962103456e-05	1.1389414480105415e-05	7.923070942682027e-06	8.91345481051728e-06	1.3370182215775921e-05	1.7331717687116937e-05	2.426440476196371e-05	3.268266763856337e-05	4.803361759000979e-05	5.991822400403283e-05	9.161050777476094e-05	0.00011785568027239515	0.0001792594800781809	0.00023472097667695513	0.0003585189601563618	0.0005922495529654817	0.0009255137244920445	0.001388022990771108	0.002113974365894349	0.0030706851822232036	0.004904380913520175	0.005493659314882151	0.007730441280388073	0.009578497577768654	0.011783587259503845	0.014208542159898469	0.016614184574870298	0.018824226175944665	0.021618594259041835	0.02592626889219127	0.03129315907199051	0.03542801172020269	0.03798716363468899	0.037074029708544884	0.03697647689756311	0.03776531764829389	0.04221164602294025	0.04542890801760308	0.04427164446803759	0.043414467230426176	0.04388737552731751	0.04399879371244898	0.0436818708747417	0.042689506239170776	0.040544334781439616	0.03795547135091826	0.03792724541068496	0.027907036627861776	0.027251897699288753	0.023331958350396823	0.019162937458744325	0.015362339365926535	0.01203118322646266	0.009797867604494165	0.007682902854731979	0.006421648999043785	0.00512474132411352	0.004097218061234444	0.003311348462107171	0.0026859210495692076	0.0019886908066131894	0.0014543787099160698	0.0010884318707509435	0.0008071628522857316	0.0006165139577274453	0.0003912016277949251	0.00026789883624943605	0.00019906715743488594	0.00015747103498580533	6.437495140929147e-05	4.704323372217454e-05	2.6740364431551842e-05	1.980767735670507e-05	6.932687074846775e-06	3.466343537423387e-06	2.4759596695881337e-06	1.980767735670507e-06	9.903838678352536e-07	1.4855758017528804e-06	0.0	0.0	4.951919339176268e-07	0.0	4.951919339176268e-07	4.951919339176268e-07	0.0	4.951919339176268e-07	4.951919339176268e-07	9.903838678352536e-07	4.456727405258641e-06	6.437495140929148e-06	4.9519193391762675e-06	8.418262876599655e-06	9.903838678352535e-06	2.3769212828046083e-05	2.178844509237558e-05
A10_5_EKDN220028405-1A_H5J72DSX5_L1.srt.dp_stats	3.7846675548019862e-06	9.461668887004966e-06	1.2300169553106456e-05	1.0407835775705463e-05	1.5138670219207945e-05	1.608483710790844e-05	3.122350732711639e-05	1.892333777400993e-05	4.068517621412135e-05	3.406200799321787e-05	2.8385006661014893e-05	2.365417221751241e-05	1.7977170885309437e-05	1.419250333050745e-05	3.500817488191837e-05	4.0685176214121346e-05	5.2985345767227806e-05	7.190868354123773e-05	0.00012394786241976506	0.00021288754995761174	0.0003434585805982803	0.0006046006418796173	0.0009016970449315731	0.0015413058616931088	0.0026379132856969843	0.0032491370957975054	0.004790442957490615	0.00634688748940293	0.008331945621896573	0.010523268136126921	0.013038179726292842	0.01583883371684631	0.018718019559161924	0.022479979108635095	0.028035871079084417	0.03293985406321909	0.03546706582293812	0.0358247169068669	0.03589757175729684	0.03788073755601308	0.04140520921642243	0.04436198074361148	0.04498834322393121	0.045818131585321546	0.046797414315126566	0.04776818154293327	0.04812204795930725	0.04750136248031972	0.04529490129587017	0.04236840710911953	0.0421091573816156	0.030979396269831656	0.029903604517379195	0.02481984982439142	0.020463697468814337	0.01651723537604457	0.012950186205643695	0.010588553651447256	0.008350868959670582	0.006984603972387066	0.005702547838197893	0.00459174791086351	0.0038490069032336197	0.0029350096887489404	0.0023133780428727145	0.0018535409349642728	0.0012602942957490614	0.000937651386702192	0.0007361178394089862	0.0004730834443502483	0.0003112889063824634	0.00023654172217512412	0.0001703100399660894	8.137035242824269e-05	5.866234709943079e-05	3.216967421581688e-05	1.7977170885309437e-05	1.0407835775705463e-05	6.623168220903476e-06	2.8385006661014895e-06	9.461668887004966e-07	0.0	0.0	9.461668887004966e-07	9.461668887004966e-07	0.0	0.0	0.0	0.0	0.0	2.8385006661014895e-06	0.0	3.7846675548019862e-06	4.730834443502482e-06	2.8385006661014895e-06	2.8385006661014895e-06	1.5138670219207945e-05	1.2300169553106455e-05	3.6900508659319366e-05	3.6900508659319366e-05
A10_7_EKDN220028549-1A_H3NGLDSX5_L2.srt.dp_stats	6.798327611407593e-06	8.74070692895262e-06	1.5539034540360214e-05	9.711896587725134e-06	1.45678448815877e-05	1.651022419913273e-05	2.039498283422278e-05	4.1761155327218077e-05	3.107806908072043e-05	2.4279741469312834e-05	2.2337362151767806e-05	2.3308551810540323e-05	1.651022419913273e-05	1.8452603516677753e-05	3.8847586350900534e-05	3.787639669212803e-05	5.82713795263508e-05	7.672398304302856e-05	0.00013013941427551679	0.0002029786386834553	0.0003098095011484318	0.0005205576571020673	0.0008614452273312193	0.001305278901390258	0.002427002957272511	0.0027950838379472934	0.004286831153821874	0.005860158401033346	0.007776315597791516	0.00979541889837957	0.012159294527831868	0.014865028917172089	0.017589215910028988	0.021646846304380553	0.02663487639183618	0.031091665735943245	0.034368459644641705	0.03445198195529613	0.034571438283325165	0.03683722375724143	0.040357786270291796	0.04391816755935182	0.044552354406530284	0.0448058349074699	0.04633740099935416	0.04797579795370339	0.04796997081575075	0.04790004516031913	0.04621308872303127	0.04367148538602361	0.04369673631715169	0.03232604779224311	0.031522873944438236	0.026707715616244118	0.021968310081434253	0.017649429668872885	0.014098760276400576	0.0114444989389753	0.009113643757921267	0.007682110200890582	0.0062534902128362135	0.005183239208868905	0.004244098808835884	0.0033816823918458912	0.002644549440837554	0.002031728766152098	0.001575269626529017	0.0011780530560910588	0.000824540020297864	0.0005283271743722473	0.0003622537427221475	0.00029038570797298156	0.00022046005254136054	0.00011848513837024663	6.312732782021337e-05	4.273234498599059e-05	2.1366172492995295e-05	9.711896587725134e-06	3.884758635090054e-06	2.9135689763175404e-06	9.711896587725134e-07	0.0	9.711896587725134e-07	1.942379317545027e-06	9.711896587725134e-07	0.0	9.711896587725134e-07	0.0	2.9135689763175404e-06	0.0	0.0	1.942379317545027e-06	3.884758635090054e-06	2.9135689763175404e-06	5.82713795263508e-06	6.798327611407594e-06	1.0683086246497646e-05	1.9423793175450267e-05	2.9135689763175397e-05	4.953067259739818e-05
A10_8_EKDN220028612-1A_H5J72DSX5_L2.srt.dp_stats	3.071212197216868e-06	7.166161793506025e-06	8.189899192578314e-06	9.213636591650602e-06	1.740353578422892e-05	1.330858618793976e-05	2.661717237587952e-05	3.480707156845784e-05	1.0237373990722892e-05	1.6379798385156625e-05	1.8427273183301208e-05	1.535606098608434e-05	3.071212197216868e-05	2.8664647174024097e-05	4.0949495962891575e-05	7.063788053598795e-05	8.189899192578312e-05	8.804141632021687e-05	0.0001504893976636265	0.0002149848538051807	0.0003542131400790121	0.000541557084109241	0.0008046575956708193	0.001235651040680253	0.0023423111690773976	0.002687310672564759	0.0041256617182613255	0.0055957486233291324	0.007446665840851831	0.009563754782133326	0.011897876052018145	0.014368154395979578	0.01722233426459312	0.021082847996494722	0.026288552670777315	0.030447997723208026	0.0335816579017683	0.034046434680947125	0.03412628619807476	0.03573355391461826	0.03962170855629481	0.04385486270145872	0.04494002434447535	0.046355853167392325	0.04783924865864807	0.048490345644458054	0.04854255625181074	0.04781775017326755	0.046964976919840334	0.0435231717841593	0.043957236441365954	0.032337816961895464	0.031442046737707216	0.02724779461370805	0.022345116209550858	0.018020849435869506	0.014115291258408724	0.011698247259199048	0.009219779016045036	0.007886872922452914	0.006365599147431494	0.005307054676790747	0.004273079903727735	0.003495039480432795	0.0026084828928361926	0.002010620251777976	0.0015376535734065782	0.0011803692211303494	0.0008394646672392771	0.0005906964792647107	0.00039106768644561453	0.000269242935956012	0.00024262576358013256	0.00010135000250815664	5.323434475175904e-05	3.685454636660241e-05	1.9451010582373496e-05	1.0237373990722894e-05	7.166161793506024e-06	5.118686995361446e-06	1.0237373990722893e-06	1.0237373990722893e-06	0.0	2.0474747981445785e-06	1.0237373990722893e-06	0.0	0.0	1.0237373990722893e-06	1.0237373990722893e-06	1.0237373990722893e-06	1.0237373990722893e-06	1.0237373990722893e-06	2.0474747981445785e-06	3.071212197216868e-06	0.0	2.0474747981445785e-06	1.0237373990722893e-06	3.071212197216868e-06	1.126111138979518e-05	2.1498485380518076e-05
A10_9_EKDN220028684-1A_H3V53DSX5_L2.srt.dp_stats	1.081114975496529e-05	1.8378954583440996e-05	1.6216724632447937e-05	2.0180812875935214e-05	2.4144901119422487e-05	2.991084765540397e-05	3.0631590972401656e-05	3.711828082538083e-05	3.2793820923394715e-05	2.991084765540397e-05	2.6667502728914386e-05	1.8018582924942148e-05	2.1982671168429428e-05	3.0991962630900504e-05	4.324459901986116e-05	6.991210174877555e-05	0.00011027372750064597	0.0001531579548620083	0.00027316171714212304	0.00046055497956152137	0.0007665105176270392	0.0011791360666082143	0.001848706608099065	0.00271612119010578	0.0044105887283673395	0.004829700967201495	0.006770662719876263	0.008598107400123895	0.010602494564694462	0.012637513320237426	0.014866412028052771	0.017143240166448463	0.019746565027444103	0.023670291645179507	0.02886829244736682	0.03283742589407308	0.03569048831440841	0.03568760534114043	0.03543642629516673	0.0365986248938255	0.04070650142905381	0.044496890533144644	0.043918133649595494	0.04362623260621144	0.04385867232594319	0.04411597769011136	0.04392714294105798	0.04325000459473864	0.04199158676326068	0.03908771193907701	0.039855303571679546	0.029691741687036675	0.029302540295857923	0.025346380228857626	0.021365354517420908	0.01752090966455525	0.014026746063750465	0.011609733350198728	0.009366059404384931	0.007744026569481638	0.00628271949426883	0.005096736366149137	0.004141751471127202	0.0034134403493010406	0.0025683688101212545	0.0019712329719886713	0.0014904971795512147	0.001136251839246852	0.0008202058947433666	0.0005838020867681257	0.0003942465943977343	0.0003055951664070189	0.00021370039348981394	0.0001225263638896066	8.000250818674315e-05	4.828980223884497e-05	3.1712705947898185e-05	1.6937467949445622e-05	6.847061511478019e-06	5.7659465359814885e-06	1.8018582924942153e-06	1.0811149754965291e-06	7.207433169976861e-07	1.0811149754965291e-06	3.6037165849884303e-07	7.207433169976861e-07	3.6037165849884303e-07	1.0811149754965291e-06	3.6037165849884303e-07	3.6037165849884303e-07	3.6037165849884303e-07	3.6037165849884303e-07	2.5226016094919013e-06	5.76594653598149e-06	2.8829732679907442e-06	6.126318194480332e-06	9.009291462471076e-06	9.009291462471077e-06	2.270341448542711e-05	3.207307760639703e-05
