Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
A10_10_EKDN220028752-1A_H5JF5DSX5_L3.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A10_10_EKDN220028752-1A_H5JF5DSX5_L3/A10_10_EKDN220028752-1A_H5JF5DSX5_L3.srt.dp.bam	7042578.0	6997607.0	968617828.0	964063355.0	142264.6506	200.0	43.7422	0.0302	3.1665	99.36144122223425
A10_11_EKDN220028814-1A_H5J72DSX5_L1.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A10_11_EKDN220028814-1A_H5J72DSX5_L1/A10_11_EKDN220028814-1A_H5J72DSX5_L1.srt.dp.bam	7560946.0	7517285.0	1051318676.0	1046327206.0	155473.7823	227.0	43.7428	0.0308	3.4368	99.42254580313097
A10_1_EKDN220028127-1A_H5GV5DSX5_L1.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A10_1_EKDN220028127-1A_H5GV5DSX5_L1/A10_1_EKDN220028127-1A_H5GV5DSX5_L1.srt.dp.bam	6508467.0	6449785.0	896094064.0	892280679.0	150170.2052	227.0	44.0342	0.0288	2.9294	99.09837447128487
A10_2_EKDN220028207-1A_H57WKDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A10_2_EKDN220028207-1A_H57WKDSX5_L2/A10_2_EKDN220028207-1A_H57WKDSX5_L2.srt.dp.bam	6394708.0	6337274.0	884637630.0	880559930.0	147799.1606	224.0	43.7498	0.0303	2.8919	99.10185109312263
A10_3_EKDN220028263-1A_H3NGLDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A10_3_EKDN220028263-1A_H3NGLDSX5_L2/A10_3_EKDN220028263-1A_H3NGLDSX5_L2.srt.dp.bam	7043189.0	7009709.0	972475458.0	968017199.0	133600.2381	200.0	43.5932	0.0306	3.1791	99.52464714492257
A10_4_EKDN220028334-1A_H3V53DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A10_4_EKDN220028334-1A_H3V53DSX5_L2/A10_4_EKDN220028334-1A_H3V53DSX5_L2.srt.dp.bam	14505050.0	14427478.0	2013974125.0	2004347758.0	136225.905	209.0	46.5645	0.0317	6.5838	99.46520694516737
A10_5_EKDN220028405-1A_H5J72DSX5_L1.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A10_5_EKDN220028405-1A_H5J72DSX5_L1/A10_5_EKDN220028405-1A_H5J72DSX5_L1.srt.dp.bam	7582164.0	7547371.0	1053966777.0	1048909418.0	135459.5554	206.0	43.7725	0.0304	3.4455	99.54112045057322
A10_7_EKDN220028549-1A_H3NGLDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A10_7_EKDN220028549-1A_H3NGLDSX5_L2/A10_7_EKDN220028549-1A_H3NGLDSX5_L2.srt.dp.bam	7310641.0	7274102.0	1026812541.0	1021903774.0	148409.4555	233.0	43.8486	0.0305	3.3567	99.50019430580711
A10_8_EKDN220028612-1A_H5J72DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A10_8_EKDN220028612-1A_H5J72DSX5_L2/A10_8_EKDN220028612-1A_H5J72DSX5_L2.srt.dp.bam	6927207.0	6887969.0	974021999.0	969513608.0	164791.2248	263.0	43.5972	0.0298	3.1842	99.43356680405249
A10_9_EKDN220028684-1A_H3V53DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A10_9_EKDN220028684-1A_H3V53DSX5_L2/A10_9_EKDN220028684-1A_H3V53DSX5_L2.srt.dp.bam	19929384.0	19832850.0	2767406817.0	2754851327.0	130269.988	206.0	43.9666	0.0304	9.0469	99.51561975021406
A11_11_EKDN220028815-1A_H5J72DSX5_L1.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A11_11_EKDN220028815-1A_H5J72DSX5_L1/A11_11_EKDN220028815-1A_H5J72DSX5_L1.srt.dp.bam	7651949.0	7402107.0	1017828211.0	1012979291.0	149369.4382	225.0	44.1847	0.0306	3.3274	96.73492335090053
A11_12_EKDN220028870-1A_H5J72DSX5_L1.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A11_12_EKDN220028870-1A_H5J72DSX5_L1/A11_12_EKDN220028870-1A_H5J72DSX5_L1.srt.dp.bam	10339366.0	10277870.0	1451090732.0	1444508432.0	158684.2802	264.0	43.76	0.0294	4.7437	99.40522465303965
A11_1_EKDN220028128-1A_H5GV5DSX5_L1.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A11_1_EKDN220028128-1A_H5GV5DSX5_L1/A11_1_EKDN220028128-1A_H5GV5DSX5_L1.srt.dp.bam	7469518.0	7405768.0	1034030294.0	1029089737.0	149091.8234	242.0	44.2106	0.031	3.3803	99.14653127551202
A11_2_EKDN220028208-1A_H57WKDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A11_2_EKDN220028208-1A_H57WKDSX5_L2/A11_2_EKDN220028208-1A_H57WKDSX5_L2.srt.dp.bam	6566846.0	6530503.0	922460813.0	918165902.0	160927.5043	255.0	43.4715	0.0301	3.0156	99.44656841351235
A11_3_EKDN220028264-1A_H3NGLDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A11_3_EKDN220028264-1A_H3NGLDSX5_L2/A11_3_EKDN220028264-1A_H3NGLDSX5_L2.srt.dp.bam	6610914.0	6582507.0	919752160.0	915482935.0	129773.0488	203.0	43.7659	0.0302	3.0067	99.57030147419857
A11_4_EKDN220028335-1A_H3V53DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A11_4_EKDN220028335-1A_H3V53DSX5_L2/A11_4_EKDN220028335-1A_H3V53DSX5_L2.srt.dp.bam	8269658.0	7885951.0	1083748439.0	1078587174.0	123780.3697	190.0	43.8702	0.0319	3.5429	95.36006204851518
A11_5_EKDN220028406-1A_H5J72DSX5_L1.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A11_5_EKDN220028406-1A_H5J72DSX5_L1/A11_5_EKDN220028406-1A_H5J72DSX5_L1.srt.dp.bam	7809974.0	7764809.0	1088873777.0	1083853822.0	151299.6553	236.0	43.7514	0.0298	3.5596	99.42170101974732
A11_6_EKDN220028482-1A_H5J72DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A11_6_EKDN220028482-1A_H5J72DSX5_L2/A11_6_EKDN220028482-1A_H5J72DSX5_L2.srt.dp.bam	7100805.0	7068553.0	971002500.0	966397486.0	119052.9644	186.0	43.8277	0.0305	3.1743	99.54579797642663
A11_7_EKDN220028550-1A_H3NGLDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A11_7_EKDN220028550-1A_H3NGLDSX5_L2/A11_7_EKDN220028550-1A_H3NGLDSX5_L2.srt.dp.bam	6437727.0	6405732.0	902741181.0	898455103.0	144539.472	227.0	43.7625	0.0305	2.9511	99.50300781626808
A12_6_EKDN220028483-1A_H5J72DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A12_6_EKDN220028483-1A_H5J72DSX5_L2/A12_6_EKDN220028483-1A_H5J72DSX5_L2.srt.dp.bam	6457698.0	6373351.0	893922799.0	889613769.0	129782.5665	212.0	43.9396	0.03	2.9223	98.69385344436981
A1_10_EKDN220028751-1A_H5JF5DSX5_L3.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A1_10_EKDN220028751-1A_H5JF5DSX5_L3/A1_10_EKDN220028751-1A_H5JF5DSX5_L3.srt.dp.bam	7471116.0	7418240.0	1036173980.0	1031527804.0	146448.5843	217.0	43.7148	0.029	3.3873	99.29226102231581
A1_13_EKDN220028924-1A_H5J72DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A1_13_EKDN220028924-1A_H5J72DSX5_L2/A1_13_EKDN220028924-1A_H5J72DSX5_L2.srt.dp.bam	6487878.0	6455945.0	896151766.0	891957349.0	130934.1028	198.0	43.8423	0.03	2.9296	99.50780517142893
A1_2_EKDN220028206-1A_H57WKDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A1_2_EKDN220028206-1A_H57WKDSX5_L2/A1_2_EKDN220028206-1A_H57WKDSX5_L2.srt.dp.bam	4096735.0	4070440.0	569985858.0	567300858.0	153274.2491	218.0	43.6438	0.0304	1.8633	99.35814740274877
A1_3_EKDN220028262-1A_H3NGLDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A1_3_EKDN220028262-1A_H3NGLDSX5_L2/A1_3_EKDN220028262-1A_H3NGLDSX5_L2.srt.dp.bam	7537534.0	7499070.0	1054748221.0	1049936699.0	142478.9298	231.0	44.0463	0.0299	3.4481	99.48970047763632
A1_4_EKDN220028333-1A_H3V53DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A1_4_EKDN220028333-1A_H3V53DSX5_L2/A1_4_EKDN220028333-1A_H3V53DSX5_L2.srt.dp.bam	8192098.0	8110234.0	1122616188.0	1117438631.0	137437.5272	205.0	44.0793	0.0309	3.6699	99.00069554831987
A1_6_EKDN220028481-1A_H5J72DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A1_6_EKDN220028481-1A_H5J72DSX5_L2/A1_6_EKDN220028481-1A_H5J72DSX5_L2.srt.dp.bam	7654310.0	7617835.0	1070365730.0	1065015436.0	134823.7402	212.0	44.0698	0.0308	3.4991	99.52347109014399
A1_7_EKDN220028548-1A_H3NGLDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A1_7_EKDN220028548-1A_H3NGLDSX5_L2/A1_7_EKDN220028548-1A_H3NGLDSX5_L2.srt.dp.bam	6370112.0	6258440.0	865934201.0	861841788.0	128046.2869	197.0	44.1726	0.031	2.8308	98.24693820140054
A1_8_EKDN220028611-1A_H5J72DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A1_8_EKDN220028611-1A_H5J72DSX5_L2/A1_8_EKDN220028611-1A_H5J72DSX5_L2.srt.dp.bam	7101286.0	7067133.0	998246278.0	993946146.0	130561.6124	226.0	44.2838	0.0272	3.2633	99.51905894228173
A1_9_EKDN220028683-1A_H3VYYDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A1_9_EKDN220028683-1A_H3VYYDSX5_L2/A1_9_EKDN220028683-1A_H3VYYDSX5_L2.srt.dp.bam	8068516.0	7986759.0	1116505709.0	1111207239.0	144728.7158	225.0	43.9141	0.03	3.6499	98.98671577276417
A2_10_EKDN220028753-1A_H5JF5DSX5_L3.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A2_10_EKDN220028753-1A_H5JF5DSX5_L3/A2_10_EKDN220028753-1A_H5JF5DSX5_L3.srt.dp.bam	8664588.0	8539806.0	1181058935.0	1175646725.0	133735.5098	200.0	44.1623	0.0294	3.861	98.55986228081474
A2_11_EKDN220028816-1A_H5J72DSX5_L1.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A2_11_EKDN220028816-1A_H5J72DSX5_L1/A2_11_EKDN220028816-1A_H5J72DSX5_L1.srt.dp.bam	7802905.0	7765644.0	1093359164.0	1088243697.0	151657.6964	231.0	43.5814	0.0298	3.5743	99.5224727200959
A2_12_EKDN220028871-1A_H5J72DSX5_L1.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A2_12_EKDN220028871-1A_H5J72DSX5_L1/A2_12_EKDN220028871-1A_H5J72DSX5_L1.srt.dp.bam	8732787.0	8651596.0	1169938632.0	1162637717.0	172847.7229	215.0	42.6847	0.0411	3.8246	99.07027389995886
A2_13_EKDN220028925-1A_H5J72DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A2_13_EKDN220028925-1A_H5J72DSX5_L2/A2_13_EKDN220028925-1A_H5J72DSX5_L2.srt.dp.bam	8491442.0	8451698.0	1183082027.0	1177514560.0	146482.3462	212.0	43.7478	0.0302	3.8676	99.5319522879624
A2_14_EKDN220028979-1A_H5J72DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A2_14_EKDN220028979-1A_H5J72DSX5_L2/A2_14_EKDN220028979-1A_H5J72DSX5_L2.srt.dp.bam	8295383.0	8219129.0	1144405252.0	1138964623.0	133954.2793	211.0	44.2449	0.0307	3.7411	99.08076577054972
A2_1_EKDN220028129-1A_H57WKDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A2_1_EKDN220028129-1A_H57WKDSX5_L2/A2_1_EKDN220028129-1A_H57WKDSX5_L2.srt.dp.bam	5267859.0	5241285.0	727661959.0	724175563.0	127668.7668	202.0	44.0276	0.0305	2.3788	99.49554458462157
