Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
bf_1019_1_FKDN220233822-1A_HN5M2DSX3_L2.flagfile	8394855	0	0	0	172605	0	1935181	0	8288112	0	98.73	nan	8222250	0	4111125	0	4111125	0	7670302	0	93.29	nan	8095854	0	19653	0	0.24	nan	264758	0	134951	0	8394855
bf_1019_4_FKDN220233821-1A_HN5M2DSX3_L2.flagfile	8117922	0	0	0	167590	0	1952823	0	8070315	0	99.41	nan	7950332	0	3975166	0	3975166	0	7501754	0	94.36	nan	7885504	0	17221	0	0.22	nan	241086	0	122317	0	8117922
bf_1019_6_FKDN220233820-1A_HN5M2DSX3_L2.flagfile	9854026	0	0	0	203248	0	2323078	0	9785450	0	99.3	nan	9650778	0	4825389	0	4825389	0	9042620	0	93.7	nan	9557068	0	25134	0	0.26	nan	323988	0	163290	0	9854026
bf_123a_10_FKDN220233792-1A_HN5M2DSX3_L2.flagfile	9041196	0	0	0	182716	0	2337426	0	8954265	0	99.04	nan	8858480	0	4429240	0	4429240	0	8269582	0	93.35	nan	8744844	0	26705	0	0.3	nan	295496	0	151266	0	9041196
bf_123a_11_FKDN220233810-1A_HN5M2DSX3_L2.flagfile	9393459	0	0	0	189795	0	2067171	0	9041747	0	96.26	nan	9203664	0	4601832	0	4601832	0	8434716	0	91.65	nan	8832762	0	19190	0	0.21	nan	254450	0	124318	0	9393459
bf_123a_15_FKDN220233811-1A_HN5M2DSX3_L2.flagfile	8749203	0	0	0	184251	0	1983233	0	8273977	0	94.57	nan	8564952	0	4282476	0	4282476	0	7567486	0	88.35	nan	8056306	0	33420	0	0.39	nan	313356	0	169919	0	8749203
bf_123a_16_FKDN220233793-1A_HN5M2DSX3_L2.flagfile	7756055	0	0	0	157249	0	1736222	0	7611622	0	98.14	nan	7598806	0	3799403	0	3799403	0	7013148	0	92.29	nan	7432422	0	21951	0	0.29	nan	264440	0	136873	0	7756055
bf_123a_17_FKDN220233791-1A_HN5M2DSX3_L2.flagfile	10307322	0	0	0	229332	0	2342809	0	10112431	0	98.11	nan	10077990	0	5038995	0	5038995	0	9252138	0	91.81	nan	9856898	0	26201	0	0.26	nan	402428	0	225110	0	10307322
bf_123a_18_FKDN220233789-1A_HN5M2DSX3_L2.flagfile	4500926	0	0	0	95524	0	926874	0	4465783	0	99.22	nan	4405402	0	2202701	0	2202701	0	4088582	0	92.81	nan	4356626	0	13633	0	0.31	nan	171172	0	91348	0	4500926
bf_123a_2_FKDN220233813-1A_HN5M2DSX3_L2.flagfile	8530394	0	0	0	179860	0	2015697	0	8470614	0	99.3	nan	8350534	0	4175267	0	4175267	0	7875360	0	94.31	nan	8272464	0	18290	0	0.22	nan	253350	0	129132	0	8530394
bf_123a_3_FKDN220233790-1A_HN5M2DSX3_L2.flagfile	9226171	0	0	0	222081	0	2144762	0	9117951	0	98.83	nan	9004090	0	4502045	0	4502045	0	8430190	0	93.63	nan	8876412	0	19458	0	0.22	nan	283460	0	142979	0	9226171
bf_123a_4_FKDN220233809-1A_HN5M2DSX3_L2.flagfile	7203428	0	0	0	165500	0	1813796	0	6680664	0	92.74	nan	7037928	0	3518964	0	3518964	0	6145468	0	87.32	nan	6499170	0	15994	0	0.23	nan	232460	0	127248	0	7203428
bf_123a_5_FKDN220233812-1A_HN5M2DSX3_L2.flagfile	12282788	0	0	0	261866	0	3424732	0	12140445	0	98.84	nan	12020922	0	6010461	0	6010461	0	11084732	0	92.21	nan	11839924	0	38655	0	0.32	nan	478486	0	252451	0	12282788
bf_133_2_FKDN220233788-1A_HN5M2DSX3_L2.flagfile	9902622	0	0	0	213868	0	2470050	0	9805689	0	99.02	nan	9688754	0	4844377	0	4844377	0	8993490	0	92.82	nan	9562962	0	28859	0	0.3	nan	349268	0	178776	0	9902622
