plate,cgr_num,conc_ng_ul,input_conc,notes,did_i_fail
1,46,0.444,1.11,,1
1,47,0.137,0.3425,,1
1,77,4.86,12.15,,1
1,82,4.72,11.8,,1
1,85,4.02,10.05,,1
2,120,0.4,1,,1
2,121,0.2,0.5,,1
2,123,0.2,0.5,,1
2,124,0.1,0.25,,1
2,127,> 0.1,>0.1,No library - failed completely ,1
2,129,0.2,0.5,,1
2,135,4.6,11.5,,1
2,154,0.7,1.75,,1
2,160,1.6,4,,1
2,163,6.1,15.25,,1
2,164,3.6,9,,1
2,165,3.6,9,,1
2,166,5.1,12.75,,1
2,168,3.4,8.5,,1
2,170,4.7,11.75,,1
2,172,4.7,11.75,,1
2,122,0.1,0.25,No library - failed completely ,1
3,181,0.2,0.5,,1
3,192,0.2,0.5,,1
3,206,0.1,0.25,No library - failed completely ,1
3,208,0.1,0.25,,1
3,211,0.1,0.25,,1
3,243,0.1,0.25,,1
3,244,0.1,0.25,,1
3,247,0.2,0.5,,1
3,263,0.9,2.25,,1
3,264,0.6,1.5,No library - failed completely ,1
3,210,0.1,0.25,,1
4,277,0.1,0.25,,1
4,278,0.2,0.5,,1
4,280,0.1,0.25,,1
4,312,0.1,0.25,,1
4,318,0.1,0.25,,1
4,321,0.2,0.5,,1
4,326,0.1,0.25,,1
4,341,>0.1,>0.1,No library - failed completely ,1
4,348,0.4,1,,1
4,298,>0.1,>0.1,,1
4,265,0.5,1.25,No library - failed completely ,1
5,366,0.2,0.5,,1
5,368,0.5,1.25,,1
5,371,0.2,0.5,,1
5,372,0.2,0.5,,1
5,374,0.2,0.5,,1
5,367,>0.1,>0.1,,1
5,405,3.9,9.75,,1
