sample_id,Pop,sample number,collection year,sine PCR result,average picogreen value,failed after repeat,estimated total DNA,500,400,300,200,100,50
,Kulaa,22,2016,arabiensis,-0.02,,-2,0,0,0,0,0,0
,Woribugu,7,2008,arabiensis,-0.01,,-1,0,0,0,0,0,0
,Woribugu,8,2008,arabiensis,0,,0,0,0,0,0,0,0
,Woribugu,58,2018,arabiensis,0.01,,1,0,0,0,0,0,0
,Tugu,4,2014,arabiensis,0.01,,1,0,0,0,0,0,0
,Gbullung,11,2008,arabiensis,0.02,,2,0,0,0,0,0,0
,Gbullung,14,2008,arabiensis,0.02,,2,0,0,0,0,0,0
,Tugu,30,2016,arabiensis,0.02,,2,0,0,0,0,0,0
,Nanton,32,2016,arabiensis,0.03,,3,0,0,0,0,0,0
,Tugu,13,2014,arabiensis,0.03,,3,0,0,0,0,0,0
,Dimabi,7,2008,arabiensis,0.04,,4,0,0,0,0,0,0
,Dimabi,4,2008,arabiensis,0.05,,5,0,0,0,0,0,0
,Dimabi,45,2016,arabiensis,0.05,,5,0,0,0,0,0,0
,Woribugu,13,2008,arabiensis,0.05,,5,0,0,0,0,0,0
,Woribugu,57,2018,arabiensis,0.05,,4,0,0,0,0,0,0
,Woribugu,59,2018,arabiensis,0.05,,5,0,0,0,0,0,0
,Nanton,29,2014,arabiensis,0.06,,6,0,0,0,0,0,0
,Woribugu,32,2016,arabiensis,0.06,,6,0,0,0,0,0,0
,Nanton,40,2016,arabiensis,0.07,,7,0,0,0,0,0,0
,Dimabi,56,2018,arabiensis,0.07,,6,0,0,0,0,0,0
,Binduli,30,2016,arabiensis,0.08,,8,0,0,0,0,0,0
,Nanton,34,2016,arabiensis,0.09,,8,0,0,0,0,0,0
,Binduli,31,2018,arabiensis,0.1,,10,0,0,0,0,0,0
,Binduli,35,2018,arabiensis,0.1,,9,0,0,0,0,0,0
,Binduli,45,2018,arabiensis,0.11,,11,0,0,0,0,0,0
,Binduli,22,2016,arabiensis,0.12,,12,0,0,0,0,0,0
,Nanton,43,2016,arabiensis,0.12,,11,0,0,0,0,0,0
,Dimabi,2,2008,arabiensis,0.13,,12,0,0,0,0,0,0
,Woribugu,46,2018,arabiensis,0.13,,12,0,0,0,0,0,0
,Binduli,29,2016,arabiensis,0.14,,13,0,0,0,0,0,0
,Dimabi,51,2018,arabiensis,0.14,,13,0,0,0,0,0,0
,Tugu,2,2014,arabiensis,0.17,,17,0,0,0,0,0,0
,Dimabi,10,2008,arabiensis,0.19,,18,0,0,0,0,0,0
,Binduli,27,2016,arabiensis,0.2,,19,0,0,0,0,0,0
,Woribugu,51,2018,arabiensis,0.21,,20,0,0,0,0,0,0
,Tugu,18,2016,arabiensis,0.23,,22,0,0,0,0,0,0
,Dimabi,52,2018,arabiensis,0.24,,23,0,0,0,0,0,0
,Nanton,44,2016,arabiensis,0.28,,26,0,0,0,0,0,0
,Kulaa,42,2018,arabiensis,0.35,,34,0,0,0,0,0,0
,Dimabi,41,2016,arabiensis,0.36,,34,0,0,0,0,0,0
,Woribugu,55,2018,arabiensis,0.36,,34,0,0,0,0,0,0
,Gbullung,13,2008,arabiensis,0.45,,42,0,0,0,0,0,0
,Dimabi,36,2016,arabiensis,0.5,,48,0,0,0,0,0,0
,Dimabi,35,2016,arabiensis,0.55,,53,0,0,0,0,0,1
,Dimabi,38,2016,arabiensis,0.7,,67,0,0,0,0,0,1
,Woribugu,56,2018,arabiensis,0.74,,70,0,0,0,0,0,1
,Kulaa,3,2014,arabiensis,0.75,,71,0,0,0,0,0,1
,Dimabi,54,2018,arabiensis,1.83,,174,0,0,0,0,1,1
,Dimabi,59,2018,arabiensis,2.49,,237,0,0,0,1,1,1
,Woribugu,18,2014,arabiensis,3.08,,293,0,0,0,1,1,1
,Dimabi,49,2018,arabiensis,3.31,,315,0,0,1,1,1,1
,Nanton,22,2014,arabiensis,4.44,,422,0,1,1,1,1,1
,Tarikpaa,39,2018,arabiensis,4.98,,473,0,1,1,1,1,1
bun_28,Bunbuna,28,2018,arabiensis,5.11,,485,0,1,1,1,1,1
,Dimabi,57,2018,arabiensis,5.23,,497,0,1,1,1,1,1
,Dimabi,50,2018,arabiensis,5.26,,500,1,1,1,1,1,1
,Binduli,51,2020,arabiensis,6.66,,633,1,1,1,1,1,1
,Tarikpaa,38,2018,arabiensis,6.91,,656,1,1,1,1,1,1
,Tarikpaa,40,2018,arabiensis,6.92,,657,1,1,1,1,1,1
,Binduli,59,2020,arabiensis,7.28,,692,1,1,1,1,1,1
,Tarikpaa,41,2018,arabiensis,7.4,,703,1,1,1,1,1,1
,Dimabi,74,2020,arabiensis,7.61,,723,1,1,1,1,1,1
,Dimabi,71,2020,arabiensis,7.63,,725,1,1,1,1,1,1
,Nanton,65,2020,arabiensis,7.88,,749,1,1,1,1,1,1
,Dimabi,64,2020,arabiensis,8.29,,788,1,1,1,1,1,1
,Gbullung,46,2018,arabiensis,8.65,,821,1,1,1,1,1,1
,Binduli,49,2020,arabiensis,9.47,,900,1,1,1,1,1,1
,Nanton,73,2020,arabiensis,9.53,,906,1,1,1,1,1,1
,Tugu,48,2020,arabiensis,9.56,,908,1,1,1,1,1,1
,Gbullung,65,2020,arabiensis,9.6,,912,1,1,1,1,1,1
,Binduli,46,2020,arabiensis,10.5,,998,1,1,1,1,1,1
,Nanton,74,2020,arabiensis,10.51,,998,1,1,1,1,1,1
,Nanton,72,2020,arabiensis,10.58,,1005,1,1,1,1,1,1
,Nanton,66,2020,arabiensis,10.85,,1031,1,1,1,1,1,1
,Nanton,71,2020,arabiensis,11.52,,1095,1,1,1,1,1,1
,Gbullung,49,2018,arabiensis,11.55,,1097,1,1,1,1,1,1
,Nanton,75,2020,arabiensis,11.67,,1108,1,1,1,1,1,1
,Tarikpaa,45,2018,arabiensis,11.86,,1127,1,1,1,1,1,1
,Binduli,60,2020,arabiensis,12.7,,1207,1,1,1,1,1,1
,Binduli,50,2020,arabiensis,13.4,,1273,1,1,1,1,1,1
,Nanton,67,2020,arabiensis,14.29,,1358,1,1,1,1,1,1
,Nanton,69,2020,arabiensis,14.65,,1392,1,1,1,1,1,1
,Tugu,51,2020,arabiensis,14.87,,1413,1,1,1,1,1,1
,Binduli,53,2020,arabiensis,15.61,,1483,1,1,1,1,1,1
,Nanton,64,2020,arabiensis,15.91,,1511,1,1,1,1,1,1
,Nanton,62,2020,arabiensis,17.57,,1669,1,1,1,1,1,1
,Binduli,54,2020,arabiensis,18.49,,1756,1,1,1,1,1,1
,Dimabi,70,2020,arabiensis,19.43,,1845,1,1,1,1,1,1
,Tugu,57,2020,arabiensis,19.65,,1867,1,1,1,1,1,1
,Dimabi,68,2020,arabiensis,20.43,,1940,1,1,1,1,1,1
bun_20,Bunbuna,20,2018,arabiensis,20.91,,1986,1,1,1,1,1,1
,Tugu,53,2020,arabiensis,21.76,,2067,1,1,1,1,1,1
,Nanton,70,2020,arabiensis,21.96,,2086,1,1,1,1,1,1
,Tugu,52,2020,arabiensis,22.48,,2135,1,1,1,1,1,1
,Nanton,63,2020,arabiensis,22.91,,2176,1,1,1,1,1,1
,Dimabi,67,2020,arabiensis,24.51,,2329,1,1,1,1,1,1
,Dimabi,65,2020,arabiensis,24.67,,2344,1,1,1,1,1,1
,Kulaa,55,2020,arabiensis,25.34,,2407,1,1,1,1,1,1
,Nanton,61,2020,arabiensis,25.98,,2468,1,1,1,1,1,1
,Dimabi,66,2020,arabiensis,27.82,,2643,1,1,1,1,1,1
bun_32,Bunbuna,32,2020,arabiensis,28.63,,2720,1,1,1,1,1,1
,Tugu,58,2020,arabiensis,35.02,,3327,1,1,1,1,1,1
,Dimabi,62,2020,arabiensis,40.88,,3884,1,1,1,1,1,1
,Dimabi,61,2020,arabiensis,71.13,,6757,1,1,1,1,1,1
,Kulaa,52,2020,arabiensis ,47.78,,4539,1,1,1,1,1,1
,Kulaa,40,2018,coluzzi,0.39,,37,0,0,0,0,0,0
,Kulaa,2,2014,coluzzi,0.61,,58,0,0,0,0,0,1
,Kulaa,34,2018,coluzzi,0.67,,64,0,0,0,0,0,1
,Kulaa,12,2014,coluzzi,1.03,,97,0,0,0,0,0,1
,Woribugu,21,2014,coluzzi,1.46,,138,0,0,0,0,1,1
,Dimabi,28,2014,coluzzi,1.51,,143,0,0,0,0,1,1
,Tugu,45,2018,coluzzi,2.18,,207,0,0,0,1,1,1
,Kulaa,31,2018,coluzzi,2.32,,220,0,0,0,1,1,1
,Tarikpaa,4,2008,coluzzi,2.35,,223,0,0,0,1,1,1
,Tarikpaa,6,2008,coluzzi,2.4,,228,0,0,0,1,1,1
,Woribugu,22,2014,coluzzi,2.71,,257,0,0,0,1,1,1
,Kulaa,43,2018,coluzzi,2.8,,266,0,0,0,1,1,1
,Tarikpaa,12,2008,coluzzi,2.82,,267,0,0,0,1,1,1
,Gbullung,31,2016,coluzzi,3.19,,303,0,0,1,1,1,1
,Woribugu,27,2014,coluzzi,4.2,,399,0,0,1,1,1,1
,Tarikpaa,8,2008,coluzzi,4.59,,436,0,1,1,1,1,1
,Gbullung,39,2016,coluzzi,4.87,,463,0,1,1,1,1,1
,Kulaa,20,2016,coluzzi,5,,475,0,1,1,1,1,1
,Kulaa,44,2018,coluzzi,6.78,,644,1,1,1,1,1,1
,Gbullung,38,2016,coluzzi,6.96,,661,1,1,1,1,1,1
,Tugu,41,2018,coluzzi,6.96,,661,1,1,1,1,1,1
,Tugu,44,2018,coluzzi,6.96,,661,1,1,1,1,1,1
,Dimabi,75,2020,coluzzi,7.95,,756,1,1,1,1,1,1
,Gbullung,56,2018,coluzzi,8.51,,808,1,1,1,1,1,1
,Dimabi,63,2020,coluzzi,8.76,,832,1,1,1,1,1,1
,Tugu,3,2014,coluzzi,8.92,,847,1,1,1,1,1,1
,Kulaa,39,2018,coluzzi,9.05,,860,1,1,1,1,1,1
,Tugu,34,2018,coluzzi,9.59,,911,1,1,1,1,1,1
,Tugu,33,2018,coluzzi,9.98,,948,1,1,1,1,1,1
,Tugu,38,2018,coluzzi,10.27,,976,1,1,1,1,1,1
,Dimabi,24,2014,coluzzi,10.28,,976,1,1,1,1,1,1
,Binduli,55,2020,coluzzi,10.29,,978,1,1,1,1,1,1
,Dimabi,21,2014,coluzzi,10.71,,1018,1,1,1,1,1,1
,Tugu,35,2018,coluzzi,11.37,,1080,1,1,1,1,1,1
,Tugu,40,2018,coluzzi,11.71,,1113,1,1,1,1,1,1
,Tugu,31,2018,coluzzi,11.77,,1118,1,1,1,1,1,1
,Tugu,36,2018,coluzzi,12.22,,1161,1,1,1,1,1,1
,Tugu,39,2018,coluzzi,12.23,,1162,1,1,1,1,1,1
,Tugu,37,2018,coluzzi,12.64,,1201,1,1,1,1,1,1
,Dimabi,27,2014,coluzzi,12.95,,1230,1,1,1,1,1,1
,Dimabi,18,2014,coluzzi,13.32,,1265,1,1,1,1,1,1
,Tugu,32,2018,coluzzi,14.2,,1349,1,1,1,1,1,1
,Dimabi,17,2014,coluzzi,15.27,,1450,1,1,1,1,1,1
