district,site,lat,long
Bunpurugu Nakpanduri,Bunbuna,10.457,0.107
Bunpurugu Nakpanduri,Kpemale,10.61904,-0.18707
East Mamprusi,Wundua,10.33072,-0.53137
East Mamprusi,Zaratinga,10.55536,-0.34329
Gushegu,Banda-ya,9.9375,-0.2116
Gushegu,Tum-Tu Zie,9.9055,-0.0947
Kumbungu,Gbullung,9.4881,-1.0134
Kumbungu,Gupanarigu,9.50308,-0.95064
Mamprugu Moaduri,Kunkwa,10.41544,-1.12409
Mamprugu Moaduri,Yagaba,10.23282,-1.28372
Nanton,Nanton,9.552676,-0.7319
Savelugu,Tarikpaa,9.58577,-0.90338
Sagnarigu,Kulaa,9.4503,-0.7277
Tamale,Tugu,9.3731,-0.6066
Tatale,Kparbutabo ,9.3833,0.3667
Tatale,Sanguli,9.353,0.5156
Tolon,Dimabi,9.397,-1.099
Tolon,Woribugu,9.427,-1.046
West Mamprusi,Kata-Banawa,10.35379,-0.76656
West Mamprusi,Nakpaya,10.14779,-0.85259
Binduli,Binduli,9.88333,-0.433333
