District,Site,Latt,Long
Bunpurugu Nakpanduri,Bunbuna,10.45700,0.10700
Bunpurugu Nakpanduri,Kpemale,10.61904,-0.18707
East Mamprusi,Wundua,10.33072,-0.53137
East Mamprusi,Zaratinga,10.55536,-0.34329
Gushegu,Banda-ya,9.93750,-0.21160
Gushegu,Tum-Tu Zie,9.90550,-0.09470
Kumbungu,Gbullung,9.48810,-1.01340
Kumbungu,Gupanarigu,9.50308,-0.95064
Mamprugu Moaduri,Kunkwa,10.41544,-1.12409
Mamprugu Moaduri,Yagaba,10.23282,-1.28372
Nanton,Nanton,9.552676,-0.73190
Savelugu,Tarikpaa,9.58577,-0.90338
Sagnarigu,Kulaa,9.45030,-0.72770
Tamale,Tugu,9.37310,-0.60660
Tatale,Kparbutabo ,9.38330,0.36670
Tatale,Sanguli,9.35300,0.51560
Tolon,Dimabi,9.39700,-1.09900
Tolon,Woribugu,9.42700,-1.04600
West Mamprusi,Kata-Banawa,10.35379,-0.76656
West Mamprusi,Nakpaya,10.14779,-0.85259
