District,Site,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bunkpurugu Nakpanduri,Bunbuna ,NSp,NSp,NSp,ACy,ACy,PM,PM,PM,PM,PM,PM,PM,CLD
Kumbungu ,Gbullung ,ACy,ACy,DM,ACy,ACy,NSp,NSp,PM,PM,PM,PM,PM,CLD+DM
Gushegu,Banda-ya,ACy,ACy,DM,ACy,ACy,NSp,NSp,NSp,NSp,PM,PM,PM,CLD+DM
Karaga,Binduli,ACy,ACy,DM,ACy,ACy,NSp,NSp,NSp,NSp,PM,PM,PM,CLD
Savelugu,Tarikpaa,ACy,ACy,DM,ACy,ACy,PM,PM,PM,NSp,NSp,NSp,NSp,NSp
Nanton,Nanton,ACy,ACy,DM,ACy,ACy,PM,PM,PM,NSp,NSp,NSp,NSp,NSp
Tolon,Woribugu ,ACy,ACy,DM,ACy,ACy,NSp,NSp,NSp,NSp,NSp,NSp,NSp,NSp
Tolon,Dimabi ,ACy,ACy,DM,ACy,ACy,NSp,NSp,NSp,NSp,NSp,NSp,NSp,NSp
Sagnerigu,Kulaa,NSp,NSp,NSp,NSp,NSp,NSp,NSp,NSp,NSp,NSp,NSp,NSp,NSp
Tamale,Tugu,NSp,NSp,NSp,NSp,NSp,NSp,NSp,NSp,NSp,NSp,NSp,NSp,NSp
