"month" "year" "cluster" "num_sequenced"
"1" 9 2014 1 18
"2" 7 2015 1 15
"3" 9 2015 1 19
"4" 11 2015 1 19
"5" 9 2014 2 17
"6" 9 2015 2 20
"7" 9 2014 3 16
"8" 7 2015 3 14
"9" 9 2015 3 19
"10" 9 2014 4 17
"11" 7 2015 4 19
"12" 9 2015 4 12
"13" 7 2014 9 20
"14" 9 2014 9 20
"15" 11 2014 9 19
"16" 7 2015 9 14
"17" 9 2015 9 20
"18" 9 2014 10 19
"19" 11 2014 10 16
"20" 7 2015 10 12
"21" 9 2015 10 14
"22" 9 2014 11 24
"23" 11 2014 11 17
"24" 7 2015 11 15
"25" 9 2015 11 15
"26" 11 2015 11 17
"27" 9 2014 12 18
"28" 7 2015 12 10
"29" 9 2015 12 20
"30" 11 2015 12 18
"31" 8 2014 18 20
"32" 9 2014 18 19
"33" 9 2015 18 17
"34" 9 2014 20 17
"35" 11 2014 20 9
"36" 7 2015 20 20
"37" 9 2015 20 20
"38" 9 2014 26 16
"39" 7 2015 26 14
"40" 9 2015 26 18
"41" 7 2014 29 16
"42" 9 2014 29 20
"43" 9 2015 29 20
"44" 7 2014 36 19
"45" 9 2014 36 14
"46" 7 2015 36 11
"47" 9 2014 37 20
"48" 7 2015 37 10
"49" 9 2015 37 17
"50" 8 2014 39 3
"51" 9 2014 39 20
"52" 7 2015 39 20
"53" 9 2015 39 20
