bamorder,sample_name,sample_metadata_id,collection_date,village,method,sample,species,conc_ng_ul,estimated_total_ng,well,cluster,lat,long,month,year,treated
0,A10_10,A10_10,16/09/2015,BOULO-KOMARA,CDC,141-2,gambiae,5.6432,2821.6,A10,29,10.40929,-4.61967,9,2015,0
1,A10_11,A10_11,07/07/2015,BOUSSANRA I,CDC,020-2,gambiae,4.2124,2106.2,A10,26,10.50926,-4.57797,7,2015,1
2,A10_1,A10_1,15/08/2014,LOMBO,CDC,504-3,gambiae,1.2,598,A10,18,10.07051,-4.30001,8,2014,0
3,A10_2,A10_2,09/11/2015,DASSORPIRE,CDC,311-12,gambiae,0.76,382.4,A10,12,10.67426,-4.59349,11,2015,1
4,A10_3,A10_3,03/09/2015,NATIERA,CDC,113b-3,gambiae,1.4096,704.8,A10,10,10.69726,-4.44495,9,2015,1
5,A10_4,A10_4,09/09/2015,BOUSSANRA I,CDC,126-11,gambiae,1.6992,849.6,A10,26,10.50926,-4.57797,9,2015,1
6,A10_5,A10_5,03/09/2014,FRIGARA,CDC,113a-11,gambiae,2.5916,1295.8,A10,20,10.49796,-4.46115,9,2014,0
7,A10_7,A10_7,12/09/2014,DANDOUGOU,CDC,41a-5,gambiae,4.2416,2120.8,A10,2,10.10211,-4.3382,9,2014,1
8,A10_8,A10_8,04/11/2014,KOFING,CDC,1826-1,gambiae,2.4592,1229.6,A10,9,10.20378,-4.39405,11,2014,1
9,A10_9,A10_9,10/09/2015,KOFLANDE,CDC,129-8,gambiae,4.6332,2316.6,A10,37,10.23163,-4.4324,9,2015,1
10,A1_10,A1_10,10/09/2015,BOUNOUBA,CDC,131-1,gambiae,3.0584,1529.2,A1,39,10.26145,-4.36408,9,2015,1
11,A11_11,A11_11,07/07/2015,BOUSSANRA I,CDC,020-10,gambiae,7.1288,3564.4,A11,26,10.50926,-4.57797,7,2015,1
12,A11_12,A11_12,14/07/2015,SANHOUNOU,CDC,708-1,gambiae,2.152,1076,A11,12,10.67426,-4.59349,7,2015,1
13,A11_1,A11_1,15/08/2014,LOMBO,CDC,514-6,gambiae,3.05,1522.8,A11,18,10.07051,-4.30001,8,2014,0
14,A11_2,A11_2,09/11/2015,SANHOUNOU,CDC,3618-3,gambiae,2.04,1021.6,A11,12,10.67426,-4.59349,11,2015,1
15,A11_3,A11_3,03/09/2015,NATIERA,CDC,113b-11,gambiae,3.1328,1566.4,A11,10,10.69726,-4.44495,9,2015,1
16,A1_13,A1_13,14/07/2015,TIEFORA II,CDC,026-1,gambiae,7.4052,3702.6,A1,11,10.66015,-4.51636,7,2015,1
17,A11_4,A11_4,09/09/2015,BOUSSANRA I,CDC,127-2,gambiae,1.464,732,A11,26,10.50926,-4.57797,9,2015,1
18,A11_5,A11_5,03/09/2014,YABLE I,CDC,821-1,gambiae,3.3448,1672.4,A11,4,10.31913,-4.38869,9,2014,1
19,A11_6,A11_6,17/09/2014,SISRANKA,CDC,171-8,gambiae,1.66,829.2,A11,29,10.40929,-4.61967,9,2014,0
20,A11_7,A11_7,12/09/2014,DANDOUGOU,CDC,41a-13,gambiae,4.8376,2418.8,A11,2,10.10211,-4.3382,9,2014,1
21,A12_6,A12_6,17/09/2014,SISRANKA,CDC,171-16,gambiae,4.66,2331.8,A12,29,10.40929,-4.61967,9,2014,0
22,A1_2,A1_2,02/11/2015,KANKOUNABA II,CDC,302-1,gambiae,1.34,669.6,A1,1,10.58465,-4.54745,11,2015,1
23,A1_3,A1_3,02/09/2015,YABLE I,CDC,106b-1,gambiae,1.2616,630.8,A1,4,10.31913,-4.38869,9,2015,1
24,A1_4,A1_4,04/09/2015,SOBARA III,CDC,114-1,gambiae,1.0392,519.6,A1,3,10.25882,-4.41593,9,2015,1
25,A1_6,A1_6,03/09/2014,BAMAKO,CDC,117-1,gambiae,3.92,1960.4,A1,20,10.49796,-4.46115,9,2014,0
26,A1_7,A1_7,09/09/2014,BOUSSANRA I,CDC,139a-1,gambiae,2.1152,1057.6,A1,26,10.50926,-4.57797,9,2014,0
27,A1_8,A1_8,17/09/2014,SISRANKA,CDC,170-1,gambiae,4.5224,2261.2,A1,29,10.40929,-4.61967,9,2014,0
28,A1_9,A1_9,05/11/2014,KANGOUNABA I,CDC,1840-1,gambiae,4.1656,2082.8,A1,9,10.20378,-4.39405,11,2014,1
29,A2_10,A2_10,10/09/2015,BOUNOUBA,CDC,131-9,gambiae,6.0544,3027.2,A2,39,10.26145,-4.36408,9,2015,1
30,A2_11,A2_11,01/07/2015,BAMAKO,CDC,444-2,gambiae,8.7132,4356.6,A2,20,10.49796,-4.46115,7,2015,1
31,A2_12,A2_12,09/07/2015,BOUNOUBA,CDC,022-3,gambiae,5.192,2596,A2,39,10.26145,-4.36408,7,2015,0
32,A2_13,A2_13,14/07/2015,TIEFORA II,CDC,026-9,gambiae,8.1564,4078.2,A2,11,10.66015,-4.51636,7,2015,1
33,A2_14,A2_14,10/09/2015,BOLOMAKOTE,CDC,157-9,gambiae,4.0436,2021.8,A2,9,10.20378,-4.39405,9,2015,1
34,A2_1,A2_1,23/07/2014,SAKORA I,CDC,237-5,gambiae,1.6,800,A2,29,10.40929,-4.61967,7,2014,0
35,A2_2,A2_2,02/11/2015,KANKOUNABA II,CDC,302-9,gambiae,1.06,529.2,A2,1,10.58465,-4.54745,11,2015,1
36,A2_3,A2_3,02/09/2015,YABLE I,CDC,106b-9,gambiae,2.492,1246,A2,4,10.31913,-4.38869,9,2015,1
37,A2_4,A2_4,04/09/2015,SOBARA III,CDC,114-9,gambiae,0.8848,442.4,A2,3,10.25882,-4.41593,9,2015,1
38,A2_5,A2_5,01/09/2014,KANGOUNABA II,CDC,104a-9,gambiae,1.6848,842.4,A2,1,10.58465,-4.54745,9,2014,1
39,A2_7,A2_7,09/09/2014,BOUSSANRA I,CDC,139a-9,gambiae,3.4056,1702.8,A2,26,10.50926,-4.57797,9,2014,0
40,A2_8,A2_8,17/09/2014,SISRANKA,CDC,170-9,gambiae,4.1368,2068.4,A2,29,10.40929,-4.61967,9,2014,0
41,A2_9,A2_9,05/11/2014,KANGOUNABA I,CDC,1840-9,gambiae,2.7772,1388.6,A2,9,10.20378,-4.39405,11,2014,1
42,A3_10,A3_10,10/09/2015,BOUNOUBA,CDC,131-17,gambiae,2.7556,1377.8,A3,39,10.26145,-4.36408,9,2015,1
43,A3_12,A3_12,09/07/2015,BOUNOUBA,CDC,582-1,gambiae,3.4584,1729.2,A3,39,10.26145,-4.36408,7,2015,0
44,A3_14,A3_14,10/09/2015,BOLOMAKOTE,CDC,157-17,gambiae,5.1076,2553.8,A3,9,10.20378,-4.39405,9,2015,1
45,A3_1,A3_1,23/07/2014,SISRANKA,CDC,241-2,gambiae,1.09,545.2,A3,29,10.40929,-4.61967,7,2014,0
46,A3_3,A3_3,02/09/2015,BAMAKO,CDC,107b-5,gambiae,5.8856,2942.8,A3,20,10.49796,-4.46115,9,2015,1
47,A3_4,A3_4,04/09/2015,SOBARA III,CDC,114-17,gambiae,1.8424,921.2,A3,3,10.25882,-4.41593,9,2015,1
48,A3_5,A3_5,01/09/2014,KANGOUNABA II,CDC,105-4,gambiae,3.2388,1619.4,A3,1,10.58465,-4.54745,9,2014,1
49,A3_6,A3_6,07/09/2014,SOBARA II,CDC,123a-6,gambiae,1.53,764.8,A3,3,10.25882,-4.41593,9,2014,1
50,A3_7,A3_7,09/09/2014,BOUSSANRA I,CDC,139a-17,gambiae,4.3776,2188.8,A3,26,10.50926,-4.57797,9,2014,0
51,A3_8,A3_8,19/09/2014,BOLOMAKOTE,CDC,195-8,gambiae,2.4616,1230.8,A3,9,10.20378,-4.39405,9,2014,1
52,A3_9,A3_9,05/11/2014,NATIERA,CDC,357-8,gambiae,4.7116,2355.8,A3,10,10.69726,-4.44495,11,2014,1
53,A4_10,A4_10,11/09/2015,DANDOUGOU,CDC,88-2,gambiae,2.3764,1188.2,A4,2,10.10211,-4.3382,9,2015,1
54,A4_11,A4_11,01/07/2015,BAMAKO,CDC,017-12,gambiae,4.3504,2175.2,A4,20,10.49796,-4.46115,7,2015,1
55,A4_12,A4_12,09/07/2015,BOUNOUBA,CDC,592-1,gambiae,4.128,2064,A4,39,10.26145,-4.36408,7,2015,0
56,A4_13,A4_13,16/07/2015,SOBARA II,CDC,029-4,gambiae,2.5924,1296.2,A4,3,10.25882,-4.41593,7,2015,1
57,A4_14,A4_14,10/09/2015,BOLOMAKOTE,CDC,157-25,gambiae,4.7968,2398.4,A4,9,10.20378,-4.39405,9,2015,1
58,A4_1,A4_1,25/07/2014,KOFING,CDC,51a-4,gambiae,2.53,1263.6,A4,9,10.20378,-4.39405,7,2014,1
59,A4_3,A4_3,02/09/2015,BAMAKO,CDC,107b-13,gambiae,2.8008,1400.4,A4,20,10.49796,-4.46115,9,2015,1
60,A4_4,A4_4,07/09/2015,DASSORPIRE,CDC,119-3,gambiae,1.676,838,A4,12,10.67426,-4.59349,9,2015,1
61,A4_5,A4_5,01/09/2014,MOSSIBOUGOU,CDC,106a-5,gambiae,2.3972,1198.6,A4,10,10.69726,-4.44495,9,2014,1
62,A4_6,A4_6,07/09/2014,SOBARA II,CDC,123a-14,gambiae,1.89,947,A4,3,10.25882,-4.41593,9,2014,1
63,A4_7,A4_7,11/09/2014,BOUNOUBA,CDC,28a-5,gambiae,2.3528,1176.4,A4,39,10.26145,-4.36408,9,2014,0
64,A4_8,A4_8,19/09/2014,KOFLANDE,CDC,209-1,gambiae,2.6112,1305.6,A4,37,10.23163,-4.4324,9,2014,0
65,A4_9,A4_9,05/11/2014,NATIERA,CDC,357-16,gambiae,2.5188,1259.4,A4,10,10.69726,-4.44495,11,2014,1
66,A5_10,A5_10,11/09/2015,KIESSE(KEHINSA),CDC,134-4,gambiae,2.544,1272,A5,2,10.10211,-4.3382,9,2015,1
67,A5_11,A5_11,01/07/2015,BAMAKO,CDC,442-1,gambiae,6.1132,3056.6,A5,20,10.49796,-4.46115,7,2015,1
68,A5_12,A5_12,12/07/2015,KANKOUNABA II,CDC,024-1,gambiae,6.14,3070,A5,1,10.58465,-4.54745,7,2015,1
69,A5_13,A5_13,16/07/2015,SOBARA II,CDC,029-11,gambiae,4.8652,2432.6,A5,3,10.25882,-4.41593,7,2015,1
70,A5_1,A5_1,25/07/2014,KOFING,CDC,51a-12,gambiae,2.37,1186.8,A5,9,10.20378,-4.39405,7,2014,1
71,A5_3,A5_3,02/09/2015,BAMAKO,CDC,107b-21,gambiae,5.1008,2550.4,A5,20,10.49796,-4.46115,9,2015,1
72,A5_4,A5_4,07/09/2015,DASSORPIRE,CDC,119-11,gambiae,2.0104,1005.2,A5,12,10.67426,-4.59349,9,2015,1
73,A5_5,A5_5,01/09/2014,MOSSIBOUGOU,CDC,106a-13,gambiae,1.1896,594.8,A5,10,10.69726,-4.44495,9,2014,1
74,A5_6,A5_6,08/09/2014,TIEFORA II,CDC,132a-2,gambiae,1.97,987.2,A5,11,10.66015,-4.51636,9,2014,1
75,A5_8,A5_8,19/09/2014,KOFLANDE,CDC,209-9,gambiae,3.7308,1865.4,A5,37,10.23163,-4.4324,9,2014,0
76,A5_9,A5_9,06/11/2014,BAMAKO,CDC,1856-2,gambiae,4.3216,2160.8,A5,20,10.49796,-4.46115,11,2014,0
