bampath,bamorder,sample_name,sample_metadata_id,revbayes_bampath,Date of collection,village,method,position,Coumpound ID,sample,species,conc (ng/ul),estimated total (ng),qPCR Plate,Well,Cluster,lat,long,month,year,treated
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A10_10_EKDN220028752-1A_H5JF5DSX5_L3/A10_10_EKDN220028752-1A_H5JF5DSX5_L3.srt.dp.bam,0,A10_10,A10_10,/move_bioinfo/anopheles_cnrfp/bam/A10_10_EKDN220028752-1A_H5JF5DSX5_L3.srt.dp.bam,16/09/2015,BOULO-KOMARA,CDC,INT,196,141-2,gambiae,5.6432,2821.6,10,A10,29,10.40929,-4.61967,9,2015,0
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A10_11_EKDN220028814-1A_H5J72DSX5_L1/A10_11_EKDN220028814-1A_H5J72DSX5_L1.srt.dp.bam,1,A10_11,A10_11,/move_bioinfo/anopheles_cnrfp/bam/A10_11_EKDN220028814-1A_H5J72DSX5_L1.srt.dp.bam,07/07/2015,BOUSSANRA I,CDC,INT,12,020-2,gambiae,4.2124,2106.2,11,A10,26,10.50926,-4.57797,7,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A10_1_EKDN220028127-1A_H5GV5DSX5_L1/A10_1_EKDN220028127-1A_H5GV5DSX5_L1.srt.dp.bam,2,A10_1,A10_1,/move_bioinfo/anopheles_cnrfp/bam/A10_1_EKDN220028127-1A_H5GV5DSX5_L1.srt.dp.bam,15/08/2014,LOMBO,CDC,INT,234,504-3,gambiae,1.2,598,1,A10,18,10.07051,-4.30001,8,2014,0
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A10_2_EKDN220028207-1A_H57WKDSX5_L2/A10_2_EKDN220028207-1A_H57WKDSX5_L2.srt.dp.bam,3,A10_2,A10_2,/move_bioinfo/anopheles_cnrfp/bam/A10_2_EKDN220028207-1A_H57WKDSX5_L2.srt.dp.bam,09/11/2015,DASSORPIRE,CDC,INT,990,311-12,gambiae,0.76,382.4,2,A10,12,10.67426,-4.59349,11,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A10_3_EKDN220028263-1A_H3NGLDSX5_L2/A10_3_EKDN220028263-1A_H3NGLDSX5_L2.srt.dp.bam,4,A10_3,A10_3,/move_bioinfo/anopheles_cnrfp/bam/A10_3_EKDN220028263-1A_H3NGLDSX5_L2.srt.dp.bam,03/09/2015,NATIERA,CDC,INT,77,113b-3,gambiae,1.4096,704.8,3,A10,10,10.69726,-4.44495,9,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A10_4_EKDN220028334-1A_H3V53DSX5_L2/A10_4_EKDN220028334-1A_H3V53DSX5_L2.srt.dp.bam,5,A10_4,A10_4,/move_bioinfo/anopheles_cnrfp/bam/A10_4_EKDN220028334-1A_H3V53DSX5_L2.srt.dp.bam,09/09/2015,BOUSSANRA I,CDC,INT,4,126-11,gambiae,1.6992,849.6,4,A10,26,10.50926,-4.57797,9,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A10_5_EKDN220028405-1A_H5J72DSX5_L1/A10_5_EKDN220028405-1A_H5J72DSX5_L1.srt.dp.bam,6,A10_5,A10_5,/move_bioinfo/anopheles_cnrfp/bam/A10_5_EKDN220028405-1A_H5J72DSX5_L1.srt.dp.bam,03/09/2014,FRIGARA,CDC,INT,502,113a-11,gambiae,2.5916,1295.8,5,A10,20,10.49796,-4.46115,9,2014,0
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A10_7_EKDN220028549-1A_H3NGLDSX5_L2/A10_7_EKDN220028549-1A_H3NGLDSX5_L2.srt.dp.bam,7,A10_7,A10_7,/move_bioinfo/anopheles_cnrfp/bam/A10_7_EKDN220028549-1A_H3NGLDSX5_L2.srt.dp.bam,12/09/2014,DANDOUGOU,CDC,INT,46,41a-5,gambiae,4.2416,2120.8,7,A10,2,10.10211,-4.3382,9,2014,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A10_8_EKDN220028612-1A_H5J72DSX5_L2/A10_8_EKDN220028612-1A_H5J72DSX5_L2.srt.dp.bam,8,A10_8,A10_8,/move_bioinfo/anopheles_cnrfp/bam/A10_8_EKDN220028612-1A_H5J72DSX5_L2.srt.dp.bam,04/11/2014,KOFING,CDC,INT,408,1826-1,gambiae,2.4592,1229.6,8,A10,9,10.20378,-4.39405,11,2014,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A10_9_EKDN220028684-1A_H3V53DSX5_L2/A10_9_EKDN220028684-1A_H3V53DSX5_L2.srt.dp.bam,9,A10_9,A10_9,/move_bioinfo/anopheles_cnrfp/bam/A10_9_EKDN220028684-1A_H3V53DSX5_L2.srt.dp.bam,10/09/2015,KOFLANDE,CDC,INT,17,129-8,gambiae,4.6332,2316.6,9,A10,37,10.23163,-4.4324,9,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A1_10_EKDN220028751-1A_H5JF5DSX5_L3/A1_10_EKDN220028751-1A_H5JF5DSX5_L3.srt.dp.bam,10,A1_10,A1_10,/move_bioinfo/anopheles_cnrfp/bam/A1_10_EKDN220028751-1A_H5JF5DSX5_L3.srt.dp.bam,10/09/2015,BOUNOUBA,CDC,INT,109,131-1,gambiae,3.0584,1529.2,10,A1,39,10.26145,-4.36408,9,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A11_11_EKDN220028815-1A_H5J72DSX5_L1/A11_11_EKDN220028815-1A_H5J72DSX5_L1.srt.dp.bam,11,A11_11,A11_11,/move_bioinfo/anopheles_cnrfp/bam/A11_11_EKDN220028815-1A_H5J72DSX5_L1.srt.dp.bam,07/07/2015,BOUSSANRA I,CDC,INT,12,020-10,gambiae,7.1288,3564.4,11,A11,26,10.50926,-4.57797,7,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A11_12_EKDN220028870-1A_H5J72DSX5_L1/A11_12_EKDN220028870-1A_H5J72DSX5_L1.srt.dp.bam,12,A11_12,A11_12,/move_bioinfo/anopheles_cnrfp/bam/A11_12_EKDN220028870-1A_H5J72DSX5_L1.srt.dp.bam,14/07/2015,SANHOUNOU,CDC,INT,235,708-1,gambiae,2.152,1076,12,A11,12,10.67426,-4.59349,7,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A11_1_EKDN220028128-1A_H5GV5DSX5_L1/A11_1_EKDN220028128-1A_H5GV5DSX5_L1.srt.dp.bam,13,A11_1,A11_1,/move_bioinfo/anopheles_cnrfp/bam/A11_1_EKDN220028128-1A_H5GV5DSX5_L1.srt.dp.bam,15/08/2014,LOMBO,CDC,INT,237,514-6,gambiae,3.05,1522.8,1,A11,18,10.07051,-4.30001,8,2014,0
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A11_2_EKDN220028208-1A_H57WKDSX5_L2/A11_2_EKDN220028208-1A_H57WKDSX5_L2.srt.dp.bam,14,A11_2,A11_2,/move_bioinfo/anopheles_cnrfp/bam/A11_2_EKDN220028208-1A_H57WKDSX5_L2.srt.dp.bam,09/11/2015,SANHOUNOU,CDC,INT,236,3618-3,gambiae,2.04,1021.6,2,A11,12,10.67426,-4.59349,11,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A11_3_EKDN220028264-1A_H3NGLDSX5_L2/A11_3_EKDN220028264-1A_H3NGLDSX5_L2.srt.dp.bam,15,A11_3,A11_3,/move_bioinfo/anopheles_cnrfp/bam/A11_3_EKDN220028264-1A_H3NGLDSX5_L2.srt.dp.bam,03/09/2015,NATIERA,CDC,INT,77,113b-11,gambiae,3.1328,1566.4,3,A11,10,10.69726,-4.44495,9,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A1_13_EKDN220028924-1A_H5J72DSX5_L2/A1_13_EKDN220028924-1A_H5J72DSX5_L2.srt.dp.bam,16,A1_13,A1_13,/move_bioinfo/anopheles_cnrfp/bam/A1_13_EKDN220028924-1A_H5J72DSX5_L2.srt.dp.bam,14/07/2015,TIEFORA II,CDC,INT,834,026-1,gambiae,7.4052,3702.6,13,A1,11,10.66015,-4.51636,7,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A11_4_EKDN220028335-1A_H3V53DSX5_L2/A11_4_EKDN220028335-1A_H3V53DSX5_L2.srt.dp.bam,17,A11_4,A11_4,/move_bioinfo/anopheles_cnrfp/bam/A11_4_EKDN220028335-1A_H3V53DSX5_L2.srt.dp.bam,09/09/2015,BOUSSANRA I,CDC,INT,26,127-2,gambiae,1.464,732,4,A11,26,10.50926,-4.57797,9,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A11_5_EKDN220028406-1A_H5J72DSX5_L1/A11_5_EKDN220028406-1A_H5J72DSX5_L1.srt.dp.bam,18,A11_5,A11_5,/move_bioinfo/anopheles_cnrfp/bam/A11_5_EKDN220028406-1A_H5J72DSX5_L1.srt.dp.bam,03/09/2014,YABLE I,CDC,INT,309,821-1,gambiae,3.3448,1672.4,5,A11,4,10.31913,-4.38869,9,2014,1
